stock_code,stock_name,candle_end_time,open,high,low,close,pre_close,amount,volume,buy1,sell1,status
sh600000,浦发银行,2020-09-25 15:00:00,9.500,9.53,9.46,9.470,9.5,29487505.0,279750442.0,9.47,9.48,00
sz000002,万 科Ａ,2020-09-25 15:00:03,28.010,28.35,27.4,27.620,28.1,69722981.0,1936770307.93,27.62,27.63,00
gb_tsla,特斯拉,,407.3400,19.55,393.47,2020-09-26 09:30:08,5.04,2318.49,224.28,408.7323,391.3,
hk01810,NULL,,小米集团－Ｗ,20.3,19.4,19.840,20.15,-0.605,19.72,19.72,-0.12,
hk00700,TENCENT,,腾讯控股,511.5,502.0,505.000,510.0,-0.297,503.0,503.5,-1.5,
gb_ba,波音,,156.0300,9.98,146.85,2020-09-26 09:30:08,6.83,383.77,89.0,156.3116,146.415,
gb_nio,蔚来,,18.3200,0.47,18.02,2020-09-26 09:30:08,2.63,21.05,1.19,18.62,17.95,
gb_twtr,推特,,43.8400,0.7,43.21,2020-09-26 09:30:08,1.62,46.8199,20.0,44.02,42.59,
hk00066,MTR CORPORATION,,港铁公司,39.9,39.45,39.600,39.5,0.253,39.65,39.7,0.1,
hk03690,NULL,,美团点评－Ｗ,241.0,230.8,238.600,240.0,-2.766,232.0,232.0,-6.6,
