杅擂蚕俵祥俴淕燴ㄛ勤杅擂趼僇衄疶恀腔ㄛ褫眕眻諉峚陓佌陓俵祥俴ㄛ峚陓瘍ㄩxbx9585
嘖き測鎢,嘖き靡備,蝠眢�梪�,羲攫歎,郔詢歎,郔腴歎,彶攫歎,ヶ彶攫歎,傖蝠講,傖蝠塗,霜籵庈硉,軞庈硉
sh600660,腦膘珓貌,1993-06-10,44.44,44.6,36.1,40.05,1.5,2094400.0,85801000.0,464435820.0,2290459500.0
sh600660,腦膘珓貌,1993-06-11,40.8,41.58,37.8,41.1,40.05,1796600.0,72599000.0,476612040.0,2350509000.0
sh600660,腦膘珓貌,1993-06-14,41.8,41.8,39.02,39.1,41.1,295900.0,11762000.0,453419240.0,2236129000.0
sh600660,腦膘珓貌,1993-06-15,38.3,38.49,37.18,37.28,39.1,236600.0,8914000.0,432313792.0,2132043200.0
sh600660,腦膘珓貌,1993-06-16,37.2,38.48,36.9,37.64,37.28,277300.0,10418000.0,436488496.0,2152631600.0
sh600660,腦膘珓貌,1993-06-17,37.6,38.02,37.6,37.9,37.64,140100.0,5305000.0,439503560.0,2167501000.0
sh600660,腦膘珓貌,1993-06-18,38.0,40.5,37.65,39.9,37.9,584200.0,23179000.0,462696360.0,2281881000.0
sh600660,腦膘珓貌,1993-06-21,37.1,38.45,37.0,37.29,39.9,327900.0,12279000.0,432429756.0,2132615100.0
sh600660,腦膘珓貌,1993-06-22,41.78,41.88,38.02,38.48,37.29,362600.0,14124000.0,446229472.0,2200671200.0
sh600660,腦膘珓貌,1993-06-23,38.6,38.6,37.61,37.92,38.48,113200.0,4304000.0,439735488.0,2168644800.0
sh600660,腦膘珓貌,1993-06-24,38.0,38.02,36.75,36.99,37.92,130800.0,4868000.0,428950836.0,2115458100.0
sh600660,腦膘珓貌,1993-06-25,36.88,39.0,36.85,37.71,36.99,320000.0,12041000.0,437300244.0,2156634900.0
sh600660,腦膘珓貌,1993-06-28,24.0,25.58,24.0,24.7,37.71,210100.0,5202000.0,429646620.0,2118889500.0
sh600660,腦膘珓貌,1993-06-29,24.7,25.69,24.5,25.4,24.7,688700.0,17453000.0,441822840.0,2178939000.0
sh600660,腦膘珓貌,1993-06-30,25.75,25.75,24.35,24.7,25.4,527600.0,13240000.0,429646620.0,2118889500.0
sh600660,腦膘珓貌,1993-07-01,24.8,24.9,24.1,24.9,24.7,305900.0,7452000.0,433125540.0,2136046500.0
sh600660,腦膘珓貌,1993-07-02,24.89,25.0,24.3,24.4,24.9,287000.0,7067000.0,424428240.0,2093154000.0
sh600660,腦膘珓貌,1993-07-05,24.78,24.88,23.5,23.5,24.4,388800.0,9302000.0,408773100.0,2015947500.0
sh600660,腦膘珓貌,1993-07-06,23.5,23.5,21.08,21.1,23.5,690800.0,15012000.0,367026060.0,1810063500.0
sh600660,腦膘珓貌,1993-07-07,20.9,22.2,20.55,22.2,21.1,938800.0,20229000.0,386160120.0,1904427000.0
sh600660,腦膘珓貌,1993-07-09,22.2,22.5,20.56,20.74,22.2,685900.0,14498000.0,360764004.0,1779180900.0
sh600660,腦膘珓貌,1993-07-12,20.3,21.3,19.95,20.95,20.74,1739300.0,35650000.0,364416870.0,1797195750.0
sh600660,腦膘珓貌,1993-07-13,21.1,22.0,20.48,21.33,20.95,1140400.0,24291000.0,371026818.0,1829794050.0
sh600660,腦膘珓貌,1993-07-14,21.48,21.5,20.25,20.3,21.33,447300.0,9285000.0,353110380.0,1741435500.0
sh600660,腦膘珓貌,1993-07-15,20.3,20.73,20.18,20.5,20.3,360200.0,7355000.0,356589300.0,1758592500.0
sh600660,腦膘珓貌,1993-07-16,20.7,20.7,20.3,20.32,20.5,264200.0,5401000.0,353458272.0,1743151200.0
sh600660,腦膘珓貌,1993-07-19,20.5,20.7,20.1,20.15,20.32,211600.0,4335000.0,350501190.0,1728567750.0
sh600660,腦膘珓貌,1993-07-20,20.21,20.49,19.61,19.87,20.15,394300.0,7914000.0,345630702.0,1704547950.0
sh600660,腦膘珓貌,1993-07-21,19.9,20.15,19.9,20.0,19.87,166400.0,3329000.0,347892000.0,1715700000.0
sh600660,腦膘珓貌,1993-07-22,20.0,20.18,19.83,20.16,20.0,149100.0,2986000.0,350675136.0,1729425600.0
sh600660,腦膘珓貌,1993-07-23,20.2,20.25,20.02,20.1,20.16,164000.0,3301000.0,349631460.0,1724278500.0
sh600660,腦膘珓貌,1993-07-26,19.98,19.98,19.28,19.42,20.1,266400.0,5211000.0,337803132.0,1665944700.0
sh600660,腦膘珓貌,1993-07-27,19.4,19.88,19.11,19.71,19.42,350600.0,6824000.0,342847566.0,1690822350.0
sh600660,腦膘珓貌,1993-07-28,19.8,21.4,19.6,20.26,19.71,650500.0,13216000.0,352414596.0,1738004100.0
sh600660,腦膘珓貌,1993-07-29,20.41,20.5,20.06,20.27,20.26,247600.0,5019000.0,352588542.0,1738861950.0
sh600660,腦膘珓貌,1993-07-30,20.49,22.5,20.46,21.8,20.27,2186300.0,46600000.0,379202280.0,1870113000.0
sh600660,腦膘珓貌,1993-08-02,22.3,22.78,20.31,20.7,21.8,1724900.0,37319000.0,360068220.0,1775749500.0
sh600660,腦膘珓貌,1993-08-03,20.41,21.0,20.4,20.42,20.7,455800.0,9416000.0,355197732.0,1751729700.0
sh600660,腦膘珓貌,1993-08-04,20.5,21.45,20.25,21.17,20.42,395900.0,8196000.0,368243682.0,1816068450.0
sh600660,腦膘珓貌,1993-08-05,20.51,21.4,20.51,20.95,21.17,428900.0,9067000.0,364416870.0,1797195750.0
sh600660,腦膘珓貌,1993-08-06,20.95,21.2,20.8,20.9,20.95,291000.0,6122000.0,363547140.0,1792906500.0
sh600660,腦膘珓貌,1993-08-09,20.95,21.78,20.95,21.56,20.9,612600.0,13095000.0,375027576.0,1849524600.0
sh600660,腦膘珓貌,1993-08-10,21.98,22.18,20.89,20.89,21.56,695100.0,15005000.0,363373194.0,1792048650.0
sh600660,腦膘珓貌,1993-08-11,20.91,21.07,20.75,21.0,20.89,207600.0,4342000.0,365286600.0,1801485000.0
sh600660,腦膘珓貌,1993-08-12,21.5,21.95,21.31,21.81,21.0,639800.0,13807000.0,379376226.0,1870970850.0
sh600660,腦膘珓貌,1993-08-13,22.0,22.88,21.91,22.6,21.81,1520600.0,34071000.0,393117960.0,1938741000.0
sh600660,腦膘珓貌,1993-08-16,23.1,24.89,22.9,24.8,22.6,1767300.0,41736000.0,431386080.0,2127468000.0
