йЩ╬щсипо╡╩ппуШюМё╛╤тйЩ╬щвж╤нспринй╣дё╛©иртж╠╫сн╒пек╫пепо╡╩ппё╛н╒пе╨её╨xbx9585
╧иф╠╢ЗбК,╧иф╠цШЁф,╫╩рвхуфз,©╙ел╪ш,вН╦ъ╪ш,вН╣м╪ш,йуел╪ш,г╟йуел╪ш,Ёи╫╩а©,Ёи╫╩╤Н,аВм╗йпж╣,вэйпж╣
sh600772,й╞смаЗ╡Щ,1996-11-04,17.0,17.8,16.18,17.0,6.88,3508443.0,58778758.0,255000000.0,989400000.0
sh600772,й╞смаЗ╡Щ,1996-11-05,17.08,17.55,16.79,17.22,17.0,2059659.0,35199809.0,258300000.0,1002204000.0
sh600772,й╞смаЗ╡Щ,1996-11-06,17.3,17.47,16.0,16.59,17.22,537831.0,9034456.0,248850000.0,965538000.0
sh600772,й╞смаЗ╡Щ,1996-11-07,16.59,17.0,16.48,16.62,16.59,333425.0,5594216.0,249300000.0,967284000.0
sh600772,й╞смаЗ╡Щ,1996-11-08,16.8,17.1,16.62,16.98,16.62,444536.0,7536310.0,254700000.0,988236000.0
sh600772,й╞смаЗ╡Щ,1996-11-11,17.1,18.47,17.1,18.05,16.98,1715704.0,30870914.0,270750000.0,1050510000.0
sh600772,й╞смаЗ╡Щ,1996-11-12,18.45,18.45,17.9,18.21,18.05,897195.0,16265568.0,273150000.0,1059822000.0
sh600772,й╞смаЗ╡Щ,1996-11-13,18.39,18.85,18.15,18.8,18.21,977580.0,18072961.0,282000000.0,1094160000.0
sh600772,й╞смаЗ╡Щ,1996-11-14,18.79,19.32,18.51,18.56,18.8,924217.0,17445764.0,278400000.0,1080192000.0
sh600772,й╞смаЗ╡Щ,1996-11-15,18.48,20.8,18.4,20.78,18.56,2332018.0,45799310.0,311700000.0,1209396000.0
sh600772,й╞смаЗ╡Щ,1996-11-18,21.2,23.18,21.18,22.0,20.78,2569573.0,55725645.0,330000000.0,1280400000.0
sh600772,й╞смаЗ╡Щ,1996-11-19,23.0,23.5,22.5,23.0,22.0,1691860.0,39125449.0,345000000.0,1338600000.0
sh600772,й╞смаЗ╡Щ,1996-11-20,23.35,24.0,22.5,22.85,23.0,1813276.0,42068443.0,342750000.0,1329870000.0
sh600772,й╞смаЗ╡Щ,1996-11-21,22.8,22.8,20.5,20.9,22.85,943140.0,20625544.0,313500000.0,1216380000.0
sh600772,й╞смаЗ╡Щ,1996-11-22,20.51,21.48,20.08,21.42,20.9,724525.0,15078983.0,321300000.0,1246644000.0
sh600772,й╞смаЗ╡Щ,1996-11-25,21.42,21.96,20.99,21.43,21.42,546608.0,11746791.0,321450000.0,1247226000.0
sh600772,й╞смаЗ╡Щ,1996-11-26,21.49,21.7,20.55,20.9,21.43,513747.0,10795145.0,313500000.0,1216380000.0
sh600772,й╞смаЗ╡Щ,1996-11-27,20.88,21.6,20.88,21.5,20.9,701620.0,14909006.0,322500000.0,1251300000.0
sh600772,й╞смаЗ╡Щ,1996-11-28,21.52,22.6,21.5,22.11,21.5,1094327.0,24201094.0,331650000.0,1286802000.0
sh600772,й╞смаЗ╡Щ,1996-11-29,22.11,22.4,21.8,21.89,22.11,528229.0,11667473.0,328350000.0,1273998000.0
sh600772,й╞смаЗ╡Щ,1996-12-02,22.5,22.98,22.21,22.61,21.89,957636.0,21766875.0,339150000.0,1315902000.0
sh600772,й╞смаЗ╡Щ,1996-12-03,22.98,23.2,22.0,22.6,22.61,593229.0,13446254.0,339000000.0,1315320000.0
sh600772,й╞смаЗ╡Щ,1996-12-04,22.6,23.0,22.45,22.95,22.6,656876.0,14975373.0,344250000.0,1335690000.0
sh600772,й╞смаЗ╡Щ,1996-12-05,22.88,24.5,22.88,24.4,22.95,1128196.0,26860955.0,366000000.0,1420080000.0
sh600772,й╞смаЗ╡Щ,1996-12-06,24.4,25.05,24.0,25.0,24.4,940495.0,23110845.0,375000000.0,1455000000.0
sh600772,й╞смаЗ╡Щ,1996-12-09,25.1,26.97,25.1,26.96,25.0,1253487.0,32617615.0,404400000.0,1569072000.0
sh600772,й╞смаЗ╡Щ,1996-12-10,27.0,27.1,26.12,26.8,26.96,1114321.0,29638649.0,402000000.0,1559760000.0
sh600772,й╞смаЗ╡Щ,1996-12-11,26.8,28.0,26.8,27.5,26.8,826519.0,22738363.0,412500000.0,1600500000.0
sh600772,й╞смаЗ╡Щ,1996-12-12,27.5,27.5,25.6,26.55,27.5,770875.0,20500403.0,398250000.0,1545210000.0
sh600772,й╞смаЗ╡Щ,1996-12-13,26.4,26.6,25.52,25.52,26.55,839400.0,21901310.0,382800000.0,1485264000.0
sh600772,й╞смаЗ╡Щ,1996-12-16,22.97,22.97,22.97,22.97,25.52,152500.0,3502925.0,344550000.0,1336854000.0
sh600772,й╞смаЗ╡Щ,1996-12-17,20.67,22.5,20.67,20.67,22.97,756570.0,15979503.0,310050000.0,1202994000.0
sh600772,й╞смаЗ╡Щ,1996-12-18,21.0,22.74,20.67,22.74,20.67,1051029.0,23108738.0,341100000.0,1323468000.0
sh600772,й╞смаЗ╡Щ,1996-12-19,23.0,24.68,21.8,22.62,22.74,1840727.0,43063134.0,339300000.0,1316484000.0
