方象喇佻音佩屁尖��斤方象忖粁嗤夘諒議��辛參岷俊裏佚暴佚佻音佩��裏佚催��xbx9585
紘同旗鷹,紘同兆各,住叟晩豚,蝕徒勺,恷互勺,恷詰勺,辺徒勺,念辺徒勺,撹住楚,撹住駆,送宥偏峙,悳偏峙
sh601966,N早艸,2016-07-06,15.58,18.69,15.58,18.69,12.98,95936.0,1792422.0,3738000000.0,22428000000.0
sh601966,早艸態魅,2016-07-07,20.56,20.56,20.56,20.56,18.69,54766.0,1125989.0,4112000000.0,24672000000.0
sh601966,早艸態魅,2016-07-08,22.62,22.62,22.62,22.62,20.56,44000.0,995280.0,4524000000.0,27144000000.0
sh601966,早艸態魅,2016-07-11,24.88,24.88,24.88,24.88,22.62,118941.0,2959252.0,4976000000.0,29856000000.0
sh601966,早艸態魅,2016-07-12,27.37,27.37,27.37,27.37,24.88,189755.0,5193594.0,5474000000.0,32844000000.0
sh601966,早艸態魅,2016-07-13,30.11,30.11,30.11,30.11,27.37,136272.0,4103150.0,6022000000.0,36132000000.0
sh601966,早艸態魅,2016-07-14,33.12,33.12,33.12,33.12,30.11,457874.0,15164787.0,6624000000.0,39744000000.0
sh601966,早艸態魅,2016-07-15,36.43,36.43,36.43,36.43,33.12,714750.0,26038343.0,7286000000.0,43716000000.0
sh601966,早艸態魅,2016-07-18,40.07,40.07,40.07,40.07,36.43,1561187.0,62556763.0,8014000000.0,48084000000.0
sh601966,早艸態魅,2016-07-19,43.0,43.0,40.08,42.09,40.07,94325201.0,3963136023.0,8418000000.0,50508000000.0
sh601966,早艸態魅,2016-07-20,41.0,41.5,40.11,40.16,42.09,45790411.0,1860154630.0,8032000000.0,48192000000.0
sh601966,早艸態魅,2016-07-21,39.97,41.99,39.62,40.62,40.16,39519294.0,1621445885.0,8124000000.0,48744000000.0
sh601966,早艸態魅,2016-07-22,39.9,40.39,38.01,38.18,40.62,40083100.0,1557265501.0,7636000000.0,45816000000.0
sh601966,早艸態魅,2016-07-25,39.5,40.44,38.76,39.38,38.18,33299589.0,1320046051.0,7876000000.0,47256000000.0
sh601966,早艸態魅,2016-07-26,38.82,40.2,38.3,39.49,39.38,26150672.0,1031552871.0,7898000000.0,47388000000.0
sh601966,早艸態魅,2016-07-27,39.55,39.73,36.36,37.29,39.49,33197111.0,1260669202.0,7458000000.0,44748000000.0
sh601966,早艸態魅,2016-07-28,36.98,37.95,36.28,37.32,37.29,19347859.0,718549682.0,7464000000.0,44784000000.0
sh601966,早艸態魅,2016-07-29,37.4,38.65,36.5,38.08,37.32,27139084.0,1026106627.0,7616000000.0,45696000000.0
sh601966,早艸態魅,2016-08-01,37.4,37.66,35.08,35.86,38.08,18330198.0,661770986.0,7172000000.0,43032000000.0
sh601966,早艸態魅,2016-08-02,36.01,36.48,35.59,36.07,35.86,12904855.0,463750335.0,7214000000.0,43284000000.0
sh601966,早艸態魅,2016-08-03,35.98,37.77,35.7,37.26,36.07,24848562.0,916362371.0,7452000000.0,44712000000.0
sh601966,早艸態魅,2016-08-04,37.0,37.5,36.61,36.75,37.26,17136184.0,632252823.0,7350000000.0,44100000000.0
sh601966,早艸態魅,2016-08-05,36.81,36.87,35.61,35.76,36.75,17306525.0,624199413.0,7152000000.0,42912000000.0
sh601966,早艸態魅,2016-08-08,35.5,35.5,34.56,35.24,35.76,16074303.0,561503790.0,7048000000.0,42288000000.0
sh601966,早艸態魅,2016-08-09,35.29,35.64,35.1,35.56,35.24,13880314.0,491097712.0,7112000000.0,42672000000.0
sh601966,早艸態魅,2016-08-10,35.7,37.58,35.26,36.92,35.56,31607931.0,1156992639.0,7384000000.0,44304000000.0
sh601966,早艸態魅,2016-08-11,36.49,36.69,35.68,35.71,36.92,18349272.0,663600032.0,7142000000.0,42852000000.0
sh601966,早艸態魅,2016-08-12,35.47,36.58,35.31,36.38,35.71,18682024.0,676598105.0,7276000000.0,43656000000.0
sh601966,早艸態魅,2016-08-15,36.45,37.48,35.84,36.92,36.38,23924607.0,878276649.0,7384000000.0,44304000000.0
sh601966,早艸態魅,2016-08-16,36.79,37.69,36.77,37.0,36.92,24160305.0,900087084.0,7400000000.0,44400000000.0
sh601966,早艸態魅,2016-08-17,36.87,37.47,36.61,37.0,37.0,19037052.0,706288379.0,7400000000.0,44400000000.0
sh601966,早艸態魅,2016-08-18,37.0,37.25,36.2,36.34,37.0,18498934.0,678301776.0,7268000000.0,43608000000.0
sh601966,早艸態魅,2016-08-19,36.1,36.34,35.8,35.9,36.34,12974014.0,466642807.0,7180000000.0,43080000000.0
sh601966,早艸態魅,2016-08-22,35.81,36.63,35.8,35.91,35.9,12010219.0,434555047.0,7182000000.0,43092000000.0
sh601966,早艸態魅,2016-08-23,35.92,36.25,35.56,35.93,35.91,8836638.0,316837835.0,7186000000.0,43116000000.0
