สýพÝำษะฯฒปะะี๛ภํฃฌถิสýพÝืึถฮำะาษฮสตฤฃฌฟษาิึฑฝำฮขะลหฝะละฯฒปะะฃฌฮขะลบลฃบxbx9585
นษฦฑด๚ย๋,นษฦฑร๛ณฦ,ฝปาืศีฦฺ,ฟชลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,สีลฬผÛ,วฐสีลฬผÛ,ณษฝปมฟ,ณษฝปถ๎,ม๗อจสะึต,ืÜสะึต
sh603027,Nวงบฬ,2016-03-07,11.03,13.23,11.03,13.23,9.19,38595.0,505992.0,529200000.0,2116800000.0
sh603027,วงบฬฮถาต,2016-03-08,14.55,14.55,14.55,14.55,13.23,21966.0,319605.0,582000000.0,2328000000.0
sh603027,วงบฬฮถาต,2016-03-09,16.01,16.01,16.01,16.01,14.55,20600.0,329806.0,640400000.0,2561600000.0
sh603027,วงบฬฮถาต,2016-03-10,17.61,17.61,17.61,17.61,16.01,37500.0,660375.0,704400000.0,2817600000.0
sh603027,วงบฬฮถาต,2016-03-11,19.37,19.37,19.37,19.37,17.61,246387.0,4772516.0,774800000.0,3099200000.0
sh603027,วงบฬฮถาต,2016-03-14,21.31,21.31,21.31,21.31,19.37,222517.0,4741837.0,852400000.0,3409600000.0
sh603027,วงบฬฮถาต,2016-03-15,23.44,23.44,23.44,23.44,21.31,158800.0,3722272.0,937600000.0,3750400000.0
sh603027,วงบฬฮถาต,2016-03-16,25.78,25.78,25.78,25.78,23.44,690510.0,17801348.0,1031200000.0,4124800000.0
sh603027,วงบฬฮถาต,2016-03-17,28.35,28.36,26.81,28.36,25.78,20551543.0,573025624.0,1134400000.0,4537600000.0
sh603027,วงบฬฮถาต,2016-03-18,29.0,30.99,28.65,29.21,28.36,27823213.0,826648511.0,1168400000.0,4673600000.0
sh603027,วงบฬฮถาต,2016-03-21,28.61,31.55,28.18,30.19,29.21,22275549.0,656762472.0,1207600000.0,4830400000.0
sh603027,วงบฬฮถาต,2016-03-22,29.34,30.1,28.8,29.0,30.19,14708213.0,429774257.0,1160000000.0,4640000000.0
sh603027,วงบฬฮถาต,2016-03-23,28.35,28.66,27.7,28.4,29.0,10978975.0,309525662.0,1136000000.0,4544000000.0
sh603027,วงบฬฮถาต,2016-03-24,28.44,31.24,28.2,31.24,28.4,16404073.0,501481063.0,1249600000.0,4998400000.0
sh603027,วงบฬฮถาต,2016-03-25,32.0,33.27,29.18,29.86,31.24,18731219.0,580241586.0,1194400000.0,4777600000.0
sh603027,วงบฬฮถาต,2016-03-28,30.3,30.39,27.8,28.31,29.86,13410275.0,388716409.0,1132400000.0,4529600000.0
sh603027,วงบฬฮถาต,2016-03-29,28.1,28.1,26.77,27.24,28.31,8685091.0,236883759.0,1089600000.0,4358400000.0
sh603027,วงบฬฮถาต,2016-03-30,27.61,28.24,27.25,28.18,27.24,8305553.0,230533753.0,1127200000.0,4508800000.0
sh603027,วงบฬฮถาต,2016-03-31,28.28,28.35,27.6,27.7,28.18,7372141.0,205615705.0,1108000000.0,4432000000.0
sh603027,วงบฬฮถาต,2016-04-01,27.55,28.18,27.05,27.97,27.7,6345431.0,175758854.0,1118800000.0,4475200000.0
sh603027,วงบฬฮถาต,2016-04-05,27.76,28.36,27.06,28.19,27.97,8401378.0,233443544.0,1127600000.0,4510400000.0
