 ˝æ›”…–œ≤ª––’˚¿Ì£¨∂‘ ˝æ›◊÷∂Œ”–“…Œ µƒ£¨ø…“‘÷±Ω”Œ¢–≈ÀΩ–≈–œ≤ª––£¨Œ¢–≈∫≈£∫xbx9585
π…∆±¥˙¬Î,π…∆±√˚≥∆,Ωª“◊»’∆⁄,ø™≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€, ’≈Ãº€,«∞ ’≈Ãº€,≥…Ωª¡ø,≥…Ωª∂Ó,¡˜Õ® –÷µ,◊‹ –÷µ
sh603187,N∫£»›,2018-11-29,46.44,46.44,46.44,46.44,32.25,53715.0,2494525.0,928800000.0,3715200000.0
sh603187,∫£»›¿‰¡¥,2018-11-30,51.08,51.08,51.08,51.08,46.44,84894.0,4336386.0,1021600000.0,4086400000.0
sh603187,∫£»›¿‰¡¥,2018-12-03,56.19,56.19,56.19,56.19,51.08,87678.0,4926627.0,1123800000.0,4495200000.0
sh603187,∫£»›¿‰¡¥,2018-12-04,61.81,61.81,61.81,61.81,56.19,84464.0,5220720.0,1236200000.0,4944800000.0
sh603187,∫£»›¿‰¡¥,2018-12-05,67.99,67.99,63.5,64.16,61.81,12484946.0,810311319.0,1283200000.0,5132800000.0
sh603187,∫£»›¿‰¡¥,2018-12-06,61.6,62.8,59.98,60.3,64.16,7538679.0,461179023.0,1206000000.0,4824000000.0
sh603187,∫£»›¿‰¡¥,2018-12-07,60.0,60.82,57.66,57.99,60.3,6249052.0,369289062.0,1159800000.0,4639200000.0
sh603187,∫£»›¿‰¡¥,2018-12-10,56.96,57.42,54.91,55.62,57.99,4984912.0,278516716.0,1112400000.0,4449600000.0
sh603187,∫£»›¿‰¡¥,2018-12-11,55.88,56.27,54.89,56.27,55.62,4470061.0,249343186.0,1125400000.0,4501600000.0
sh603187,∫£»›¿‰¡¥,2018-12-12,56.19,56.9,55.58,55.59,56.27,3749209.0,210384942.0,1111800000.0,4447200000.0
sh603187,∫£»›¿‰¡¥,2018-12-13,55.91,55.92,53.59,54.58,55.59,4426538.0,241443061.0,1091600000.0,4366400000.0
sh603187,∫£»›¿‰¡¥,2018-12-14,54.0,54.28,51.67,52.0,54.58,4704207.0,249231548.0,1040000000.0,4160000000.0
sh603187,∫£»›¿‰¡¥,2018-12-17,51.68,52.5,51.3,52.36,52.0,2801196.0,145912031.0,1047200000.0,4188800000.0
sh603187,∫£»›¿‰¡¥,2018-12-18,51.71,51.99,49.9,50.75,52.36,3939726.0,200386128.0,1015000000.0,4060000000.0
sh603187,∫£»›¿‰¡¥,2018-12-19,50.6,50.88,49.43,49.68,50.75,2985961.0,149496280.0,993600000.0,3974400000.0
sh603187,∫£»›¿‰¡¥,2018-12-20,49.37,50.85,49.37,50.28,49.68,3176150.0,159303953.0,1005600000.0,4022400000.0
sh603187,∫£»›¿‰¡¥,2018-12-21,50.0,50.6,49.6,50.58,50.28,2600739.0,130237854.0,1011600000.0,4046400000.0
sh603187,∫£»›¿‰¡¥,2018-12-24,50.08,51.37,50.08,50.95,50.58,3001214.0,152794168.0,1019000000.0,4076000000.0
sh603187,∫£»›¿‰¡¥,2018-12-25,50.21,50.21,47.78,48.86,50.95,3760378.0,182961040.0,977200000.0,3908800000.0
sh603187,∫£»›¿‰¡¥,2018-12-26,48.76,49.52,48.6,48.89,48.86,2748740.0,134884668.0,977800000.0,3911200000.0
sh603187,∫£»›¿‰¡¥,2018-12-27,49.68,49.77,47.95,47.95,48.89,2737327.0,134099130.0,959000000.0,3836000000.0
sh603187,∫£»›¿‰¡¥,2018-12-28,48.22,48.22,46.48,46.7,47.95,2928519.0,138093479.0,934000000.0,3736000000.0
sh603187,∫£»›¿‰¡¥,2019-01-02,47.15,47.44,46.61,46.88,46.7,1824649.0,85778949.0,937600000.0,3750400000.0
sh603187,∫£»›¿‰¡¥,2019-01-03,47.02,47.43,46.7,47.09,46.88,2076576.0,97757172.0,941800000.0,3767200000.0
sh603187,∫£»›¿‰¡¥,2019-01-04,46.11,47.89,46.05,47.82,47.09,3119301.0,147162560.0,956400000.0,3825600000.0
sh603187,∫£»›¿‰¡¥,2019-01-07,47.8,48.16,47.46,47.93,47.82,2721009.0,129914147.0,958600000.0,3834400000.0
sh603187,∫£»›¿‰¡¥,2019-01-08,47.7,47.83,46.86,47.2,47.93,2397478.0,113433245.0,944000000.0,3776000000.0
sh603187,∫£»›¿‰¡¥,2019-01-09,47.3,48.55,47.14,47.7,47.2,3738158.0,179456762.0,954000000.0,3816000000.0
sh603187,∫£»›¿‰¡¥,2019-01-10,47.51,47.85,46.72,47.06,47.7,2696298.0,127227524.0,941200000.0,3764800000.0
sh603187,∫£»›¿‰¡¥,2019-01-11,47.1,51.77,47.09,50.95,47.06,7130747.0,353394289.0,1019000000.0,4076000000.0
