数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx9585
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh603217,N元利,2019-06-20,65.95,79.14,65.95,79.14,54.96,328209.0,25973194.0,1801226400.0,7204905600.0
sh603217,元利科技,2019-06-21,87.0,87.0,75.18,77.37,79.14,9960896.0,794674949.0,1760941200.0,7043764800.0
sh603217,元利科技,2019-06-24,75.0,75.01,71.41,71.93,77.37,7709023.0,561259563.0,1637126800.0,6548507200.0
sh603217,元利科技,2019-06-25,70.88,70.88,67.56,67.95,71.93,6253449.0,429756618.0,1546542000.0,6186168000.0
sh603217,元利科技,2019-06-26,67.01,69.2,67.01,68.38,67.95,3335866.0,228364947.0,1556328800.0,6225315200.0
sh603217,元利科技,2019-06-27,68.0,68.5,67.02,67.18,68.38,3237238.0,218478714.0,1529016800.0,6116067200.0
sh603217,元利科技,2019-06-28,66.84,68.09,66.84,67.24,67.18,2415408.0,162661190.0,1530382400.0,6121529600.0
sh603217,元利科技,2019-07-01,68.1,68.36,67.31,68.28,67.24,3390356.0,230322810.0,1554052800.0,6216211200.0
sh603217,元利科技,2019-07-02,67.9,68.14,66.66,66.92,68.28,3491166.0,234691866.0,1523099200.0,6092396800.0
sh603217,元利科技,2019-07-03,66.66,66.66,65.05,65.18,66.92,3017389.0,197377730.0,1483496800.0,5933987200.0
sh603217,元利科技,2019-07-04,65.2,66.5,64.87,65.99,65.18,2503622.0,164375273.0,1501932400.0,6007729600.0
sh603217,元利科技,2019-07-05,65.98,66.58,65.41,66.3,65.99,1961638.0,129836157.0,1508988000.0,6035952000.0
sh603217,元利科技,2019-07-08,65.83,65.85,62.1,62.55,66.3,3078835.0,196198244.0,1423638000.0,5694552000.0
sh603217,元利科技,2019-07-09,62.75,62.97,61.9,62.65,62.55,1512310.0,94375360.0,1425914000.0,5703656000.0
sh603217,元利科技,2019-07-10,62.8,62.95,61.89,62.05,62.65,1352769.0,84378681.0,1412258000.0,5649032000.0
sh603217,元利科技,2019-07-11,62.3,62.64,61.02,61.19,62.05,1617275.0,100030790.0,1392684400.0,5570737600.0
sh603217,元利科技,2019-07-12,61.0,61.93,60.97,61.53,61.19,1387263.0,85424916.0,1400422800.0,5601691200.0
sh603217,元利科技,2019-07-15,60.97,61.28,59.55,61.27,61.53,1854360.0,112087294.0,1394505200.0,5578020800.0
sh603217,元利科技,2019-07-16,61.25,62.85,61.0,61.87,61.27,1856985.0,115313317.0,1408161200.0,5632644800.0
sh603217,元利科技,2019-07-17,62.0,62.0,61.01,61.01,61.87,1363107.0,83570253.0,1388587600.0,5554350400.0
sh603217,元利科技,2019-07-18,60.27,60.64,59.89,59.9,61.01,1277078.0,76877480.0,1363324000.0,5453296000.0
sh603217,元利科技,2019-07-19,60.08,60.67,59.85,59.96,59.9,1169186.0,70416037.0,1364689600.0,5458758400.0
sh603217,元利科技,2019-07-22,59.55,59.95,55.75,55.77,59.96,2462246.0,139985642.0,1269325200.0,5077300800.0
sh603217,元利科技,2019-07-23,55.45,56.62,55.45,56.16,55.77,1170184.0,65579587.0,1278201600.0,5112806400.0
sh603217,元利科技,2019-07-24,56.5,57.26,56.02,56.68,56.16,1537905.0,87158371.0,1290036800.0,5160147200.0
sh603217,元利科技,2019-07-25,56.71,56.85,55.96,56.11,56.68,1363521.0,76648748.0,1277063600.0,5108254400.0
sh603217,元利科技,2019-07-26,56.18,56.5,55.91,56.25,56.11,1032153.0,58028407.0,1280250000.0,5121000000.0
sh603217,元利科技,2019-07-29,56.27,56.47,55.73,55.85,56.25,1025244.0,57504086.0,1271146000.0,5084584000.0
sh603217,元利科技,2019-07-30,55.95,56.65,55.95,56.38,55.85,1305154.0,73578966.0,1283208800.0,5132835200.0
sh603217,元利科技,2019-07-31,56.16,56.35,55.81,55.88,56.38,890929.0,49870269.0,1271828800.0,5087315200.0
sh603217,元利科技,2019-08-01,55.77,56.16,55.46,55.92,55.88,1008296.0,56226615.0,1272739200.0,5090956800.0
sh603217,元利科技,2019-08-02,55.39,55.48,54.77,55.43,55.92,1497802.0,82537068.0,1261586800.0,5046347200.0
sh603217,元利科技,2019-08-05,55.43,56.59,55.42,55.99,55.43,1534170.0,86162461.0,1274332400.0,5097329600.0
sh603217,元利科技,2019-08-06,55.2,55.2,53.06,54.17,55.99,1847004.0,99977212.0,1232909200.0,4931636800.0
sh603217,元利科技,2019-08-07,54.2,54.67,53.57,53.65,54.17,1149375.0,62144814.0,1221074000.0,4884296000.0
sh603217,元利科技,2019-08-08,53.94,54.14,53.6,53.77,53.65,872688.0,46943963.0,1223805200.0,4895220800.0
sh603217,元利科技,2019-08-09,54.0,54.38,52.34,52.57,53.77,1306562.0,69821189.0,1196493200.0,4785972800.0
sh603217,元利科技,2019-08-12,52.66,52.89,51.93,52.76,52.57,998124.0,52217262.0,1200817600.0,4803270400.0
sh603217,元利科技,2019-08-13,52.28,52.35,51.8,51.89,52.76,820683.0,42677986.0,1181016400.0,4724065600.0
sh603217,元利科技,2019-08-14,52.47,52.99,52.13,52.46,51.89,1165380.0,61179936.0,1193989600.0,4775958400.0
sh603217,元利科技,2019-08-15,50.91,51.49,50.63,51.43,52.46,1377831.0,70319444.0,1170546800.0,4682187200.0
sh603217,元利科技,2019-08-16,51.2,52.37,51.18,51.71,51.43,1226657.0,63748728.0,1176919600.0,4707678400.0
sh603217,元利科技,2019-08-19,52.05,52.93,51.72,52.84,51.71,1438712.0,75305072.0,1202638400.0,4810553600.0
sh603217,元利科技,2019-08-20,52.28,52.46,51.84,51.94,52.84,1633008.0,84978328.0,1182154400.0,4728617600.0
sh603217,元利科技,2019-08-21,51.79,52.37,51.72,51.95,51.94,913984.0,47533283.0,1182382000.0,4729528000.0
sh603217,元利科技,2019-08-22,52.16,52.16,51.31,51.52,51.95,945905.0,48841876.0,1172595200.0,4690380800.0
sh603217,元利科技,2019-08-23,51.2,51.89,51.14,51.7,51.52,1141042.0,58747617.0,1176692000.0,4706768000.0
sh603217,元利科技,2019-08-26,50.72,52.85,50.71,52.4,51.7,1904432.0,99150202.0,1192624000.0,4770496000.0
sh603217,元利科技,2019-08-27,52.4,52.99,52.19,52.83,52.4,1661267.0,87451954.0,1202410800.0,4809643200.0
sh603217,元利科技,2019-08-28,52.86,52.88,52.25,52.3,52.83,1138034.0,59723831.0,1190348000.0,4761392000.0
sh603217,元利科技,2019-08-29,52.59,53.97,52.21,53.8,52.3,2294517.0,122779303.0,1224488000.0,4897952000.0
sh603217,元利科技,2019-08-30,53.8,54.52,52.52,52.56,53.8,1929255.0,103210517.0,1196265600.0,4785062400.0
sh603217,元利科技,2019-09-02,52.08,53.86,52.08,53.5,52.56,1366808.0,72433418.0,1217660000.0,4870640000.0
sh603217,元利科技,2019-09-03,53.2,54.02,52.88,53.6,53.5,1659257.0,88732599.0,1219936000.0,4879744000.0
sh603217,元利科技,2019-09-04,53.48,54.96,53.2,54.59,53.6,2183427.0,118740284.0,1242468400.0,4969873600.0
sh603217,元利科技,2019-09-05,54.66,55.33,54.26,54.49,54.59,2218103.0,121329441.0,1240192400.0,4960769600.0
sh603217,元利科技,2019-09-06,54.39,54.78,53.92,54.21,54.49,1281868.0,69526350.0,1233819600.0,4935278400.0
sh603217,元利科技,2019-09-09,54.49,54.66,54.22,54.63,54.21,1271304.0,69212063.0,1243378800.0,4973515200.0
sh603217,元利科技,2019-09-10,54.82,54.82,53.84,54.13,54.63,1382410.0,74792423.0,1231998800.0,4927995200.0
sh603217,元利科技,2019-09-11,54.27,54.34,53.63,53.66,54.13,1005936.0,54275451.0,1221301600.0,4885206400.0
sh603217,元利科技,2019-09-12,53.76,54.2,53.32,54.04,53.66,981414.0,52786957.0,1229950400.0,4919801600.0
sh603217,元利科技,2019-09-16,54.28,54.98,54.03,54.85,54.04,1749781.0,95612720.0,1248386000.0,4993544000.0
sh603217,元利科技,2019-09-17,54.78,56.53,54.0,55.94,54.85,2781917.0,153275601.0,1273194400.0,5092777600.0
sh603217,元利科技,2019-09-18,55.55,59.88,55.34,58.33,55.94,5357917.0,308129446.0,1327590800.0,5310363200.0
sh603217,元利科技,2019-09-19,57.6,58.02,56.8,57.96,58.33,2720172.0,156256152.0,1319169600.0,5276678400.0
sh603217,元利科技,2019-09-20,57.77,57.77,56.68,56.74,57.96,1927164.0,110163012.0,1291402400.0,5165609600.0
sh603217,元利科技,2019-09-23,56.5,56.66,55.0,55.27,56.74,1545040.0,85665262.0,1257945200.0,5031780800.0
