Êý¾ÝÓÉÐÏ²»ÐÐÕûÀí£¬¶ÔÊý¾Ý×Ö¶ÎÓÐÒÉÎÊµÄ£¬¿ÉÒÔÖ±½ÓÎ¢ÐÅË½ÐÅÐÏ²»ÐÐ£¬Î¢ÐÅºÅ£ºxbx9585
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,Ç°ÊÕÅÌ¼Û,³É½»Á¿,³É½»¶î,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ
sh603861,N°×ÔÆ,2016-03-22,12.24,12.24,12.24,12.24,8.5,49185.0,602024.0,600984000.0,5007384000.0
sh603861,°×ÔÆµçÆ÷,2016-03-23,13.46,13.46,13.46,13.46,12.24,12237.0,164710.0,660886000.0,5506486000.0
sh603861,°×ÔÆµçÆ÷,2016-03-24,14.81,14.81,14.81,14.81,13.46,9230.0,136696.0,727171000.0,6058771000.0
sh603861,°×ÔÆµçÆ÷,2016-03-25,16.29,16.29,16.29,16.29,14.81,39612.0,645279.0,799839000.0,6664239000.0
sh603861,°×ÔÆµçÆ÷,2016-03-28,17.92,17.92,17.92,17.92,16.29,51148.0,916572.0,879872000.0,7331072000.0
sh603861,°×ÔÆµçÆ÷,2016-03-29,19.71,19.71,19.71,19.71,17.92,235881.0,4649215.0,967761000.0,8063361000.0
sh603861,°×ÔÆµçÆ÷,2016-03-30,21.68,21.68,21.68,21.68,19.71,208900.0,4528952.0,1064488000.0,8869288000.0
sh603861,°×ÔÆµçÆ÷,2016-03-31,23.85,23.85,23.85,23.85,21.68,556584.0,13274528.0,1171035000.0,9757035000.0
sh603861,°×ÔÆµçÆ÷,2016-04-01,26.24,26.24,25.8,26.24,23.85,15198436.0,398058917.0,1288384000.0,10734784000.0
sh603861,°×ÔÆµçÆ÷,2016-04-05,26.25,28.58,24.87,27.43,26.24,31579684.0,823739217.0,1346813000.0,11221613000.0
sh603861,°×ÔÆµçÆ÷,2016-04-06,26.5,26.93,26.01,26.32,27.43,18489513.0,488622622.0,1292312000.0,10767512000.0
sh603861,°×ÔÆµçÆ÷,2016-04-07,26.22,27.39,26.12,26.74,26.32,18784117.0,504516000.0,1312934000.0,10939334000.0
sh603861,°×ÔÆµçÆ÷,2016-04-08,26.1,26.88,25.5,26.76,26.74,12907566.0,337506500.0,1313916000.0,10947516000.0
sh603861,°×ÔÆµçÆ÷,2016-04-11,26.93,29.14,26.52,28.53,26.76,20632091.0,570727630.0,1400823000.0,11671623000.0
sh603861,°×ÔÆµçÆ÷,2016-04-12,27.97,28.48,26.59,27.0,28.53,16968738.0,467704064.0,1325700000.0,11045700000.0
sh603861,°×ÔÆµçÆ÷,2016-04-13,27.1,27.94,26.53,27.14,27.0,11828528.0,322825487.0,1332574000.0,11102974000.0
sh603861,°×ÔÆµçÆ÷,2016-04-14,27.33,29.85,27.09,29.85,27.14,20334599.0,585202941.0,1465635000.0,12211635000.0
sh603861,°×ÔÆµçÆ÷,2016-04-15,29.85,32.3,29.4,30.43,29.85,27878948.0,857926533.0,1494113000.0,12448913000.0
sh603861,°×ÔÆµçÆ÷,2016-04-18,28.99,29.18,27.61,28.93,30.43,13434275.0,385205933.0,1420463000.0,11835263000.0
sh603861,°×ÔÆµçÆ÷,2016-04-19,29.17,30.95,29.17,30.19,28.93,15588184.0,472542577.0,1482329000.0,12350729000.0
sh603861,°×ÔÆµçÆ÷,2016-04-20,30.0,31.81,27.78,30.91,30.19,18945810.0,565129086.0,1517681000.0,12645281000.0
sh603861,°×ÔÆµçÆ÷,2016-04-21,29.8,31.7,29.52,30.18,30.91,17195699.0,529096544.0,1481838000.0,12346638000.0
sh603861,°×ÔÆµçÆ÷,2016-04-22,29.02,30.49,28.88,29.15,30.18,12334036.0,363406547.0,1431265000.0,11925265000.0
sh603861,°×ÔÆµçÆ÷,2016-04-25,29.5,29.85,27.15,28.08,29.15,11088383.0,314279922.0,1378728000.0,11487528000.0
sh603861,°×ÔÆµçÆ÷,2016-04-26,27.5,28.55,27.5,28.5,28.08,9429791.0,263910613.0,1399350000.0,11659350000.0
sh603861,°×ÔÆµçÆ÷,2016-04-27,28.54,29.28,28.03,28.56,28.5,9937576.0,285100820.0,1402296000.0,11683896000.0
sh603861,°×ÔÆµçÆ÷,2016-04-28,28.2,28.5,27.0,27.87,28.56,8705632.0,240603662.0,1368417000.0,11401617000.0
sh603861,°×ÔÆµçÆ÷,2016-04-29,27.68,27.76,27.09,27.12,27.87,4923063.0,134801222.0,1331592000.0,11094792000.0
sh603861,°×ÔÆµçÆ÷,2016-05-03,27.17,27.8,26.3,27.77,27.12,7391323.0,202625251.0,1363507000.0,11360707000.0
sh603861,°×ÔÆµçÆ÷,2016-05-04,27.62,28.32,27.33,27.84,27.77,7891792.0,218908774.0,1366944000.0,11389344000.0
sh603861,°×ÔÆµçÆ÷,2016-05-05,27.56,27.79,27.32,27.61,27.84,5363002.0,147766855.0,1355651000.0,11295251000.0
sh603861,°×ÔÆµçÆ÷,2016-05-06,27.88,28.52,27.4,27.57,27.61,10082800.0,282417643.0,1353687000.0,11278887000.0
sh603861,°×ÔÆµçÆ÷,2016-05-09,26.85,26.89,25.0,25.23,27.57,7044845.0,181910291.0,1238793000.0,10321593000.0
sh603861,°×ÔÆµçÆ÷,2016-05-10,25.03,25.9,25.03,25.49,25.23,4106422.0,104680748.0,1251559000.0,10427959000.0
sh603861,°×ÔÆµçÆ÷,2016-05-11,25.61,25.88,24.53,24.68,25.49,4679884.0,117161913.0,1211788000.0,10096588000.0
sh603861,°×ÔÆµçÆ÷,2016-05-12,24.0,24.0,22.68,23.69,24.68,4879630.0,114312273.0,1163179000.0,9691579000.0
sh603861,°×ÔÆµçÆ÷,2016-05-13,23.82,24.23,23.36,23.61,23.69,3637098.0,86659753.0,1159251000.0,9658851000.0
sh603861,°×ÔÆµçÆ÷,2016-05-16,23.63,24.16,23.17,24.14,23.61,3633719.0,86145709.0,1185274000.0,9875674000.0
sh603861,°×ÔÆµçÆ÷,2016-05-17,24.24,24.26,23.61,23.76,24.14,3853894.0,92147378.0,1166616000.0,9720216000.0
