ΚύΎέΣΙΠΟ²»ΠΠΥϋΐν£¬¶ΤΚύΎέΧΦ¶ΞΣΠÒΙΞΚµΔ£¬ΏΙÒΤΦ±½ΣΞΆΠΕΛ½ΠΕΠΟ²»ΠΠ£¬ΞΆΠΕΊΕ£Ίxbx9585
ΉΙΖ±΄ϊΒλ,ΉΙΖ±Γϋ³Ζ,½»ÒΧΘΥΖΪ,ΏªΕΜΌΫ,ΧξΈίΌΫ,ΧξµΝΌΫ,ΚΥΕΜΌΫ,Η°ΚΥΕΜΌΫ,³Ι½»ΑΏ,³Ι½»¶ξ,ΑχΝ¨ΚΠΦµ,ΧάΚΠΦµ
sh603885,NΌªΟι,2015-05-27,16.1,16.1,16.1,16.1,11.18,23600.0,379960.0,1094800000.0,9144800000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-05-28,17.71,17.71,17.71,17.71,16.1,6881.0,121863.0,1204280000.0,10059280000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-05-29,19.48,19.48,19.48,19.48,17.71,7825.0,152431.0,1324640000.0,11064640000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-01,21.43,21.43,21.43,21.43,19.48,4500.0,96435.0,1457240000.0,12172240000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-02,23.57,23.57,23.57,23.57,21.43,5000.0,117850.0,1602760000.0,13387760000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-03,25.93,25.93,25.93,25.93,23.57,8252.0,213974.0,1763240000.0,14728240000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-04,28.52,28.52,28.52,28.52,25.93,31300.0,892676.0,1939360000.0,16199360000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-05,31.37,31.37,31.37,31.37,28.52,15000.0,470550.0,2133160000.0,17818160000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-08,34.51,34.51,34.51,34.51,31.37,24600.0,848946.0,2346680000.0,19601680000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-09,37.96,37.96,37.96,37.96,34.51,31100.0,1180556.0,2581280000.0,21561280000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-10,41.76,41.76,41.76,41.76,37.96,56400.0,2355264.0,2839680000.0,23719680000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-11,45.94,45.94,45.94,45.94,41.76,35500.0,1630870.0,3123920000.0,26093920000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-12,50.53,50.53,50.53,50.53,45.94,37900.0,1915087.0,3436040000.0,28701040000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-15,55.58,55.58,55.58,55.58,50.53,98294.0,5463181.0,3779440000.0,31569440000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-16,61.14,61.14,61.14,61.14,55.58,522300.0,31933422.0,4157520000.0,34727520000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-17,67.25,67.25,67.25,67.25,61.14,668342.0,44946000.0,4573000000.0,38198000000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-18,73.98,73.98,73.98,73.98,67.25,1986526.0,146963193.0,5030640000.0,42020640000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-19,67.02,80.1,66.58,68.17,73.98,32593597.0,2230480860.0,4635560000.0,38720560000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-23,65.11,68.17,61.4,65.42,68.17,17612269.0,1150351645.0,4448560000.0,37158560000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-24,68.04,71.96,66.0,69.44,65.42,22771760.0,1599856828.0,4721920000.0,39441920000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-25,66.5,74.18,63.0,67.75,69.44,20113043.0,1389808678.0,4607000000.0,38482000000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-06-26,65.01,72.78,63.0,68.96,67.75,18420177.0,1261220522.0,4689280000.0,39169280000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-15,62.06,62.06,62.06,62.06,68.96,1251200.0,77649472.0,4220080000.0,35250080000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-16,55.85,59.99,55.85,55.89,62.06,27448131.0,1546724833.0,3800520000.0,31745520000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-17,56.0,60.0,54.0,58.55,55.89,15328629.0,879268222.0,3981400000.0,33256400000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-20,57.0,60.94,56.9,57.82,58.55,11468025.0,671662830.0,3931760000.0,32841760000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-21,56.52,63.6,54.8,63.6,57.82,15374009.0,894730484.0,4324800000.0,36124800000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-22,63.0,65.28,60.7,61.39,63.6,12407937.0,781244223.0,4174520000.0,34869520000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-23,61.28,67.3,60.91,66.85,61.39,13536806.0,884079592.0,4545800000.0,37970800000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-24,67.29,72.94,67.29,70.91,66.85,16215583.0,1133793170.0,4821880000.0,40276880000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-27,69.22,76.9,63.82,63.83,70.91,18913806.0,1342162393.0,4340440000.0,36255440000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-28,59.01,68.0,57.53,62.5,63.83,13772139.0,854379506.0,4250000000.0,35500000000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-29,63.9,68.75,60.9,68.74,62.5,14683210.0,951207876.0,4674320000.0,39044320000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-30,67.0,70.0,63.0,64.87,68.74,13737231.0,928426688.0,4411160000.0,36846160000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-07-31,63.2,64.85,58.89,60.27,64.87,10073307.0,624293801.0,4098360000.0,34233360000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-08-03,60.25,61.98,54.55,56.94,60.27,11038619.0,640529048.0,3871920000.0,32341920000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-08-04,58.0,62.59,55.8,62.17,56.94,11052309.0,658511771.0,4227560000.0,35312560000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-08-05,62.0,63.0,58.8,59.25,62.17,10324115.0,630124507.0,4029000000.0,33654000000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-08-06,57.95,59.24,56.8,57.25,59.25,5772342.0,333099260.0,3893000000.0,32518000000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-08-07,58.5,60.0,58.01,59.0,57.25,6358771.0,375992611.0,4012000000.0,33512000000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-08-10,60.13,63.7,60.03,63.23,59.0,9417607.0,584336077.0,4299640000.0,35914640000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-08-11,63.0,65.71,60.7,61.67,63.23,10503272.0,662029756.0,4193560000.0,35028560000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-08-12,59.5,63.26,58.7,60.71,61.67,9668421.0,578599655.0,4128280000.0,34483280000.0
sh603885,ΌªΟιΊ½ΏΥ,2015-08-13,59.89,66.5,59.5,66.05,60.71,12150278.0,763446423.0,4491400000.0,37516400000.0
