 эЊЁ”…–ѕ≤ї––’ыјн£ђґ‘ эЊЁ„÷ґќ”–“…ќ µƒ£ђњ…“‘÷±љ”ќҐ–≈Ћљ–≈–ѕ≤ї––£ђќҐ–≈Ї≈£Їxbx9585
є…∆±іъ¬л,є…∆±√ы≥∆,љї“„»’∆Џ,њ™≈ћЉџ,„оЄяЉџ,„оµЌЉџ, ’≈ћЉџ,«∞ ’≈ћЉџ,≥…љїЅњ,≥…љїґо,ЅчЌ® –÷µ,„№ –÷µ
sh603993,N¬еов,2012-10-09,8.7,9.68,8.66,9.63,3.0,175040418.0,1571741690.0,1926000000.0,48883522155.8
sh603993,¬е—фов“µ,2012-10-10,9.88,10.59,8.99,10.59,9.63,146349124.0,1397022023.0,2118000000.0,53756645859.8
sh603993,¬е—фов“µ,2012-10-11,10.11,10.44,9.53,9.68,10.59,120872279.0,1213281052.0,1936000000.0,49137330682.0
sh603993,¬е—фов“µ,2012-10-12,9.45,9.76,9.03,9.09,9.68,75998677.0,709372476.0,1818000000.0,46142390072.2
sh603993,¬е—фов“µ,2012-10-15,9.1,9.27,8.85,9.11,9.09,55633510.0,504666843.0,1822000000.0,46243913482.8
sh603993,¬е—фов“µ,2012-10-16,9.0,9.15,8.79,8.86,9.11,43095012.0,386985012.0,1772000000.0,44974870851.5
sh603993,¬е—фов“µ,2012-10-17,8.88,8.95,8.53,8.76,8.86,45126451.0,393767565.0,1752000000.0,44467253799.0
sh603993,¬е—фов“µ,2012-10-18,8.75,9.1,8.69,9.01,8.76,55210820.0,491810765.0,1802000000.0,45736296430.2
sh603993,¬е—фов“µ,2012-10-19,8.98,8.98,8.66,8.69,9.01,35181409.0,310167487.0,1738000000.0,44111921862.2
sh603993,¬е—фов“µ,2012-10-22,8.5,8.57,8.3,8.53,8.69,31156050.0,263086740.0,1706000000.0,43299734578.2
sh603993,¬е—фов“µ,2012-10-23,8.6,9.28,8.51,8.94,8.53,65124957.0,582180336.0,1788000000.0,45380964493.5
sh603993,¬е—фов“µ,2012-10-24,8.79,8.83,8.62,8.79,8.94,31220333.0,272258058.0,1758000000.0,44619538914.8
sh603993,¬е—фов“µ,2012-10-25,8.7,8.86,8.36,8.5,8.79,32584679.0,280109595.0,1700000000.0,43147449462.5
sh603993,¬е—фов“µ,2012-10-26,8.51,8.55,7.9,7.99,8.5,33099025.0,269476876.0,1598000000.0,40558602494.8
sh603993,¬е—фов“µ,2012-10-29,7.91,8.06,7.84,8.01,7.99,16396693.0,130437190.0,1602000000.0,40660125905.2
sh603993,¬е—фов“µ,2012-10-30,7.98,8.15,7.86,8.04,8.01,19765438.0,158126824.0,1608000000.0,40812411021.0
