ΚύΎέΣΙΠΟ²»ΠΠΥϋΐν£¬¶ΤΚύΎέΧΦ¶ΞΣΠÒΙΞΚµΔ£¬ΏΙÒΤΦ±½ΣΞΆΠΕΛ½ΠΕΠΟ²»ΠΠ£¬ΞΆΠΕΊΕ£Ίxbx9585
ΉΙΖ±΄ϊΒλ,ΉΙΖ±Γϋ³Ζ,½»ÒΧΘΥΖΪ,ΏªΕΜΌΫ,ΧξΈίΌΫ,ΧξµΝΌΫ,ΚΥΕΜΌΫ,Η°ΚΥΕΜΌΫ,³Ι½»ΑΏ,³Ι½»¶ξ,ΑχΝ¨ΚΠΦµ,ΧάΚΠΦµ
sz000515,ΣεξΡ°Χ£Α,1993-07-06,10.5,10.5,10.15,10.2,10.5,1473700.0,15031740.0,367200000.0,1127765040.0
sz000515,ΣεξΡ°Χ£Α,1993-07-07,10.1,10.55,10.0,10.2,10.2,976200.0,9957240.0,367200000.0,1127765040.0
sz000515,ΣεξΡ°Χ£Α,1993-07-08,10.2,10.3,10.1,10.15,10.2,526900.0,5348035.0,365400000.0,1122236780.0
sz000515,ΣεξΡ°Χ£Α,1993-07-09,10.15,10.15,9.7,9.95,10.15,1107100.0,11015645.0,358200000.0,1100123740.0
sz000515,ΣεξΡ°Χ£Α,1993-07-12,13.0,13.05,8.25,9.4,9.95,147900.0,1372730.0,345600000.0,1061425920.0
sz000515,ΣεξΡ°Χ£Α,1993-07-13,9.35,9.35,8.9,9.05,9.6,249200.0,2253340.0,343800000.0,1055897660.0
sz000515,ΣεξΡ°Χ£Α,1993-07-14,9.1,9.15,8.9,8.9,9.55,175500.0,1575720.0,340200000.0,1044841140.0
sz000515,ΣεξΡ°Χ£Α,1993-07-15,8.75,8.8,8.05,8.25,9.45,337800.0,2811235.0,324000000.0,995086800.0
sz000515,ΣεξΡ°Χ£Α,1993-07-16,8.25,8.35,7.9,8.0,8.25,460100.0,3691205.0,288000000.0,884521600.0
sz000515,ΣεξΡ°Χ£Α,1993-07-19,8.05,8.05,7.2,7.55,8.0,481000.0,3625780.0,298800000.0,917691160.0
sz000515,ΣεξΡ°Χ£Α,1993-07-20,7.5,7.5,6.55,7.4,8.3,758700.0,5370020.0,306000000.0,939804200.0
sz000515,ΣεξΡ°Χ£Α,1993-07-21,7.55,7.6,6.65,7.25,8.5,844000.0,6179015.0,286200000.0,878993340.0
sz000515,ΣεξΡ°Χ£Α,1993-07-22,7.1,7.3,6.9,7.3,7.95,383500.0,2750290.0,293400000.0,901106380.0
sz000515,ΣεξΡ°Χ£Α,1993-07-23,7.3,7.7,7.1,7.65,8.15,1038200.0,7833160.0,302400000.0,928747680.0
sz000515,ΣεξΡ°Χ£Α,1993-07-26,7.8,7.8,7.4,7.65,8.4,728700.0,5505930.0,295200000.0,906634640.0
sz000515,ΣεξΡ°Χ£Α,1993-07-27,7.65,7.8,7.45,7.8,8.2,832300.0,6364560.0,306000000.0,939804200.0
sz000515,ΣεξΡ°Χ£Α,1993-07-28,7.8,8.1,7.65,7.75,8.5,1072100.0,8417905.0,307800000.0,945332460.0
sz000515,ΣεξΡ°Χ£Α,1993-07-29,7.8,7.9,7.5,7.8,8.55,560000.0,4293490.0,316800000.0,972973760.0
sz000515,ΣεξΡ°Χ£Α,1993-07-30,7.95,8.55,7.95,8.45,8.8,1825200.0,15087340.0,338400000.0,1039312880.0
sz000515,ΣεξΡ°Χ£Α,1993-08-02,8.6,8.7,8.1,8.2,9.4,1287700.0,10833805.0,324000000.0,995086800.0
sz000515,ΣεξΡ°Χ£Α,1993-08-03,8.05,8.2,8.0,8.0,9.0,560000.0,4522130.0,311400000.0,956388980.0
sz000515,ΣεξΡ°Χ£Α,1993-08-04,7.85,8.2,7.8,8.15,8.65,467400.0,3732800.0,324000000.0,995086800.0
sz000515,ΣεξΡ°Χ£Α,1993-08-05,8.25,8.4,8.05,8.35,9.0,666200.0,5483545.0,338400000.0,1039312880.0
sz000515,ΣεξΡ°Χ£Α,1993-08-06,8.4,8.4,8.05,8.15,9.4,448900.0,3696655.0,293400000.0,901106380.0
sz000515,ΣεξΡ°Χ£Α,1993-08-09,8.15,8.5,8.1,8.5,8.15,1250600.0,10447945.0,306000000.0,939804200.0
sz000515,ΣεξΡ°Χ£Α,1993-08-10,8.65,9.0,8.6,8.65,8.5,2040200.0,17865185.0,311400000.0,956388980.0
sz000515,ΣεξΡ°Χ£Α,1993-08-11,8.6,9.8,8.55,9.8,8.65,4039400.0,37493610.0,352800000.0,1083538960.0
sz000515,ΣεξΡ°Χ£Α,1993-08-12,9.95,10.1,9.6,9.75,9.8,4070200.0,39780010.0,351000000.0,1078010700.0
sz000515,ΣεξΡ°Χ£Α,1993-08-13,9.9,10.3,9.75,10.2,9.75,4319000.0,42662505.0,367200000.0,1127765040.0
sz000515,ΣεξΡ°Χ£Α,1993-08-16,10.35,12.4,10.35,12.4,10.2,5783900.0,66621525.0,446400000.0,1371008480.0
