КэѕЭУЙРПІ»РРХыАнЈ¬¶ФКэѕЭЧЦ¶ОУРТЙОКµДЈ¬їЙТФЦ±ЅУОўРЕЛЅРЕРПІ»РРЈ¬ОўРЕєЕЈєxbx9585
№ЙЖ±ґъВл,№ЙЖ±ГыіЖ,Ѕ»ТЧИХЖЪ,їЄЕМјЫ,ЧоёЯјЫ,ЧоµНјЫ,КХЕМјЫ,З°КХЕМјЫ,іЙЅ»Бї,іЙЅ»¶о,БчНЁКРЦµ,ЧЬКРЦµ
sz002081,NЅру«тл,2006-11-20,20.09,21.68,19.79,19.84,12.8,13360919.0,276426811.5,380928000.0,1864960000.0
sz002081,Ѕру«тл,2006-11-21,20.62,21.82,20.62,21.82,19.84,4780095.0,102530467.6,418944000.0,2051080000.0
sz002081,Ѕру«тл,2006-11-22,22.08,24.0,21.87,24.0,21.82,6633027.0,151703582.2,460800000.0,2256000000.0
sz002081,Ѕру«тл,2006-11-23,23.79,24.64,23.22,24.47,24.0,3713432.0,88727264.2,469824000.0,2300180000.0
sz002081,Ѕру«тл,2006-11-24,24.0,24.5,23.5,23.9,24.47,1640099.0,39222195.7,458880000.0,2246600000.0
sz002081,Ѕру«тл,2006-11-27,24.05,24.3,23.6,24.1,23.9,1394850.0,33401280.9,462720000.0,2265400000.0
sz002081,Ѕру«тл,2006-11-28,23.79,23.8,22.3,22.85,24.1,2439212.0,55585705.0,438720000.0,2147900000.0
sz002081,Ѕру«тл,2006-11-29,22.4,23.2,21.88,22.8,22.85,1323530.0,30212193.9,437760000.0,2143200000.0
sz002081,Ѕру«тл,2006-11-30,22.88,23.48,22.56,22.79,22.8,1386174.0,31837557.2,437568000.0,2142260000.0
sz002081,Ѕру«тл,2006-12-01,22.97,23.79,22.58,23.67,22.79,1657854.0,38557818.6,454464000.0,2224980000.0
sz002081,Ѕру«тл,2006-12-04,23.55,25.59,23.48,24.7,23.67,1930800.0,47205833.2,474240000.0,2321800000.0
sz002081,Ѕру«тл,2006-12-05,24.51,25.16,24.33,24.51,24.7,1399120.0,34480366.1,470592000.0,2303940000.0
sz002081,Ѕру«тл,2006-12-06,24.49,24.59,22.8,23.78,24.51,1098018.0,26333666.5,456576000.0,2235320000.0
sz002081,Ѕру«тл,2006-12-07,23.5,24.2,23.18,23.36,23.78,624308.0,14703797.8,448512000.0,2195840000.0
sz002081,Ѕру«тл,2006-12-08,23.1,23.15,22.3,22.5,23.36,780490.0,17655467.3,432000000.0,2115000000.0
sz002081,Ѕру«тл,2006-12-11,22.5,22.98,22.5,22.98,22.5,514328.0,11691671.1,441216000.0,2160120000.0
sz002081,Ѕру«тл,2006-12-12,23.18,23.18,21.98,22.9,22.98,742922.0,16774411.4,439680000.0,2152600000.0
sz002081,Ѕру«тл,2006-12-13,22.83,23.81,22.5,23.81,22.9,837213.0,19506520.3,457152000.0,2238140000.0
sz002081,Ѕру«тл,2006-12-14,23.58,24.25,23.2,23.95,23.81,908997.0,21676563.8,459840000.0,2251300000.0
sz002081,Ѕру«тл,2006-12-15,23.5,24.18,23.5,24.0,23.95,737500.0,17645352.7,460800000.0,2256000000.0
sz002081,Ѕру«тл,2006-12-18,23.8,25.0,23.8,24.75,24.0,1030006.0,25289955.0,475200000.0,2326500000.0
sz002081,Ѕру«тл,2006-12-19,24.73,26.08,24.73,25.68,24.75,1368448.0,34985647.7,493056000.0,2413920000.0
sz002081,Ѕру«тл,2006-12-20,25.65,26.2,24.98,25.69,25.68,725792.0,18557295.3,493248000.0,2414860000.0
sz002081,Ѕру«тл,2006-12-21,25.66,25.96,24.5,24.6,25.69,1066299.0,26715725.3,472320000.0,2312400000.0
sz002081,Ѕру«тл,2006-12-22,24.56,24.56,23.98,24.05,24.6,523120.0,12657090.5,461760000.0,2260700000.0
sz002081,Ѕру«тл,2006-12-25,24.4,24.76,24.01,24.17,24.05,415183.0,10149106.5,464064000.0,2271980000.0
sz002081,Ѕру«тл,2006-12-26,24.09,24.35,23.3,23.51,24.17,451725.0,10701315.0,451392000.0,2209940000.0
sz002081,Ѕру«тл,2006-12-27,23.38,23.75,23.37,23.46,23.51,729600.0,17161085.7,450432000.0,2205240000.0
sz002081,Ѕру«тл,2006-12-28,23.55,23.7,22.99,23.35,23.46,642745.0,14923966.4,448320000.0,2194900000.0
sz002081,Ѕру«тл,2006-12-29,23.55,24.29,23.46,24.0,23.35,484940.0,11675175.5,460800000.0,2256000000.0
sz002081,Ѕру«тл,2007-01-04,23.76,24.26,23.51,23.51,24.0,478700.0,11444707.2,451392000.0,2209940000.0
sz002081,Ѕру«тл,2007-01-05,23.51,25.7,23.51,25.3,23.51,818416.0,20535208.8,485760000.0,2378200000.0
sz002081,Ѕру«тл,2007-01-08,24.92,26.0,24.92,25.64,25.3,582858.0,14828841.3,492288000.0,2410160000.0
sz002081,Ѕру«тл,2007-01-09,25.71,26.65,25.35,25.74,25.64,886215.0,23184717.3,494208000.0,2419560000.0
sz002081,Ѕру«тл,2007-01-10,25.74,26.14,25.18,26.0,25.74,492803.0,12660374.3,499200000.0,2444000000.0
