数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx9585
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sz002208,N城建,2008-01-28,31.02,33.88,26.88,28.0,15.6,14778950.0,428919013.1,598080000.0,2987600000.0
sz002208,合肥城建,2008-01-29,27.0,27.79,25.2,25.52,28.0,5881638.0,153585150.5,545107200.0,2722984000.0
sz002208,合肥城建,2008-01-30,25.86,26.17,24.32,25.1,25.52,3825816.0,96758552.3,536136000.0,2678170000.0
sz002208,合肥城建,2008-01-31,25.24,26.78,24.68,25.88,25.1,3788372.0,97903771.5,552796800.0,2761396000.0
sz002208,合肥城建,2008-02-01,25.4,25.69,23.29,23.3,25.88,3270333.0,77664362.7,497688000.0,2486110000.0
sz002208,合肥城建,2008-02-04,24.14,25.28,23.62,25.08,23.3,2420153.0,59312733.2,535708800.0,2676036000.0
sz002208,合肥城建,2008-02-05,26.53,27.59,25.6,27.59,25.08,4863571.0,130250991.9,589322400.0,2943853000.0
sz002208,合肥城建,2008-02-13,26.88,27.38,26.0,26.62,27.59,2216293.0,59210477.8,568603200.0,2840354000.0
sz002208,合肥城建,2008-02-14,26.99,27.6,26.4,26.67,26.62,1763808.0,47745932.7,569671200.0,2845689000.0
sz002208,合肥城建,2008-02-15,26.28,26.5,25.01,26.0,26.67,1726769.0,44491837.5,555360000.0,2774200000.0
sz002208,合肥城建,2008-02-18,26.31,27.16,26.05,26.41,26.0,1886426.0,50439583.3,564117600.0,2817947000.0
sz002208,合肥城建,2008-02-19,26.53,27.18,26.5,27.13,26.41,1554448.0,41884843.8,579496800.0,2894771000.0
sz002208,合肥城建,2008-02-20,27.18,27.5,26.16,26.3,27.13,1848012.0,49342945.3,561768000.0,2806210000.0
sz002208,合肥城建,2008-02-21,26.4,27.1,26.17,26.7,26.3,1130794.0,30268960.2,570312000.0,2848890000.0
sz002208,合肥城建,2008-02-22,26.51,27.47,26.4,27.34,26.7,2052075.0,55420066.4,583982400.0,2917178000.0
sz002208,合肥城建,2008-02-25,27.88,27.98,26.18,26.18,27.34,2500406.0,68218234.1,559204800.0,2793406000.0
sz002208,合肥城建,2008-02-26,26.7,26.98,24.16,25.25,26.18,2017193.0,51673198.2,539340000.0,2694175000.0
sz002208,合肥城建,2008-02-27,25.5,25.94,25.15,25.9,25.25,974023.0,24998261.3,553224000.0,2763530000.0
sz002208,合肥城建,2008-02-28,25.9,26.0,25.06,25.35,25.9,871590.0,22246676.8,541476000.0,2704845000.0
sz002208,合肥城建,2008-02-29,25.21,25.88,25.21,25.78,25.35,682028.0,17511765.6,550660800.0,2750726000.0
sz002208,合肥城建,2008-03-03,25.89,26.7,25.6,26.6,25.78,1181455.0,31036805.1,568176000.0,2838220000.0
sz002208,合肥城建,2008-03-04,26.59,26.59,25.32,25.35,26.6,1635764.0,42352721.3,541476000.0,2704845000.0
sz002208,合肥城建,2008-03-05,25.33,25.65,24.5,25.0,25.35,1045904.0,26056763.1,534000000.0,2667500000.0
sz002208,合肥城建,2008-03-06,25.0,25.5,24.48,24.7,25.0,916376.0,22826149.9,527592000.0,2635490000.0
sz002208,合肥城建,2008-03-07,24.6,25.17,24.49,24.87,24.7,740763.0,18347774.1,531223200.0,2653629000.0
sz002208,合肥城建,2008-03-10,24.21,24.51,23.67,23.72,24.87,851424.0,20425571.5,506659200.0,2530924000.0
sz002208,合肥城建,2008-03-11,23.77,24.38,23.55,24.22,23.72,564010.0,13514968.6,517339200.0,2584274000.0
sz002208,合肥城建,2008-03-12,24.47,24.79,23.51,23.52,24.22,600781.0,14422875.4,502387200.0,2509584000.0
sz002208,合肥城建,2008-03-13,23.5,23.51,22.5,22.63,23.52,883615.0,20220830.2,483376800.0,2414621000.0
sz002208,合肥城建,2008-03-14,22.65,22.8,22.01,22.36,22.63,576416.0,12898000.9,477609600.0,2385812000.0
sz002208,合肥城建,2008-03-17,22.38,22.47,21.2,21.2,22.36,811475.0,17712427.5,452832000.0,2262040000.0
sz002208,合肥城建,2008-03-18,21.2,21.72,19.98,20.18,21.2,929525.0,19243952.8,431044800.0,2153206000.0
sz002208,合肥城建,2008-03-19,20.58,21.47,20.38,20.93,20.18,727478.0,15186330.6,447064800.0,2233231000.0
sz002208,合肥城建,2008-03-20,20.0,21.71,19.61,21.39,20.93,996865.0,20694117.3,456890400.0,2282313000.0
sz002208,合肥城建,2008-03-21,21.28,21.78,20.91,21.65,21.39,720466.0,15427989.2,462444000.0,2310055000.0
sz002208,合肥城建,2008-03-24,21.89,22.0,20.5,20.5,21.65,736290.0,15729607.9,437880000.0,2187350000.0
sz002208,合肥城建,2008-03-25,20.18,21.48,20.1,21.13,20.5,663179.0,13770967.8,451336800.0,2254571000.0
sz002208,合肥城建,2008-03-26,21.3,21.97,21.05,21.28,21.13,712873.0,15271346.3,454540800.0,2270576000.0
sz002208,合肥城建,2008-03-27,21.08,21.4,20.12,20.6,21.28,596109.0,12365969.7,440016000.0,2198020000.0
sz002208,合肥城建,2008-03-28,20.97,21.71,20.1,21.66,20.6,922308.0,19647858.8,462657600.0,2311122000.0
sz002208,合肥城建,2008-03-31,21.03,22.32,20.95,21.8,21.66,947667.0,20579921.4,465648000.0,2326060000.0
sz002208,合肥城建,2008-04-01,21.7,21.94,19.62,19.62,21.8,875653.0,17873484.0,419083200.0,2093454000.0
sz002208,合肥城建,2008-04-02,20.05,20.28,18.3,18.45,19.62,608845.0,11692435.5,394092000.0,1968615000.0
sz002208,合肥城建,2008-04-03,18.45,19.19,18.18,18.85,18.45,466111.0,8714704.9,402636000.0,2011295000.0
sz002208,合肥城建,2008-04-07,18.86,20.1,18.61,19.99,18.85,732622.0,14253790.1,426986400.0,2132933000.0
