йЩ╬щсипо╡╩ппуШюМё╛╤тйЩ╬щвж╤нспринй╣дё╛©иртж╠╫сн╒пек╫пепо╡╩ппё╛н╒пе╨её╨xbx9585
╧иф╠╢ЗбК,╧иф╠цШЁф,╫╩рвхуфз,©╙ел╪ш,вН╦ъ╪ш,вН╣м╪ш,йуел╪ш,г╟йуел╪ш,Ёи╫╩а©,Ёи╫╩╤Н,аВм╗йпж╣,вэйпж╣
sz002227,N╟блья╦,2008-05-06,25.2,32.4,25.2,27.32,14.37,18625820.0,516901858.0,601040000.0,2966322274.0
sz002227,╟блья╦,2008-05-07,25.11,25.96,24.59,24.59,27.32,8013018.0,199194439.3,540980000.0,2669907200.5
sz002227,╟блья╦,2008-05-08,22.8,23.4,22.13,22.88,24.59,6855420.0,154980573.7,503360000.0,2484240616.0
sz002227,╟блья╦,2008-05-09,22.95,23.14,21.06,21.52,22.88,4590165.0,101867040.1,473440000.0,2336575964.0
sz002227,╟блья╦,2008-05-12,21.13,22.14,20.71,21.48,21.52,2697979.0,57594859.5,472560000.0,2332232886.0
sz002227,╟блья╦,2008-05-13,20.61,21.38,20.5,20.98,21.48,2579340.0,54052178.8,461560000.0,2277944411.0
sz002227,╟блья╦,2008-05-14,21.11,21.55,21.0,21.29,20.98,2065995.0,43898174.6,468380000.0,2311603265.5
sz002227,╟блья╦,2008-05-15,21.55,22.5,21.38,21.68,21.29,2988405.0,65717477.4,476960000.0,2353948276.0
sz002227,╟блья╦,2008-05-16,21.6,21.8,20.58,21.1,21.68,1970525.0,41423840.6,464200000.0,2290973645.0
sz002227,╟блья╦,2008-05-19,20.81,21.06,20.4,20.7,21.1,1129351.0,23281885.9,455400000.0,2247542865.0
sz002227,╟блья╦,2008-05-20,20.5,20.86,19.01,19.13,20.7,1778711.0,35449959.0,420860000.0,2077077053.5
sz002227,╟блья╦,2008-05-21,18.81,19.2,18.02,18.99,19.13,1882404.0,34845742.3,417780000.0,2061876280.5
sz002227,╟блья╦,2008-05-22,18.7,18.76,18.35,18.46,18.99,1366601.0,25316730.9,406120000.0,2004330497.0
sz002227,╟блья╦,2008-05-23,18.4,18.59,17.7,18.4,18.46,1371952.0,24951578.3,404800000.0,1997815880.0
sz002227,╟блья╦,2008-05-26,18.39,18.74,18.0,18.0,18.4,966656.0,17726162.8,396000000.0,1954385100.0
sz002227,╟блья╦,2008-05-27,18.0,18.58,17.81,18.4,18.0,694658.0,12682620.9,404800000.0,1997815880.0
sz002227,╟блья╦,2008-05-28,18.38,18.94,18.1,18.88,18.4,1025897.0,19051176.8,415360000.0,2049932816.0
sz002227,╟блья╦,2008-05-29,18.7,19.66,18.42,18.75,18.88,1974404.0,37758379.4,412500000.0,2035817812.5
sz002227,╟блья╦,2008-05-30,18.7,19.48,18.6,19.47,18.75,1605061.0,30693628.5,428340000.0,2113993216.5
sz002227,╟блья╦,2008-06-02,19.31,19.45,18.81,19.16,19.47,1166702.0,22314992.8,421520000.0,2080334362.0
sz002227,╟блья╦,2008-06-03,19.19,19.35,18.48,18.8,19.16,1110332.0,20855635.3,413600000.0,2041246660.0
sz002227,╟блья╦,2008-06-04,18.72,18.72,18.0,18.15,18.8,727762.0,13275051.4,399300000.0,1970671642.5
sz002227,╟блья╦,2008-06-05,18.07,18.38,17.95,18.26,18.15,472298.0,8597725.4,401720000.0,1982615107.0
sz002227,╟блья╦,2008-06-06,18.26,18.48,18.06,18.18,18.26,586640.0,10724335.4,399960000.0,1973928951.0
sz002227,╟блья╦,2008-06-10,17.49,17.49,16.36,16.36,18.18,1132749.0,18977569.3,359920000.0,1776318902.0
sz002227,╟блья╦,2008-06-11,15.8,16.28,15.44,15.53,16.36,932807.0,14654936.2,341660000.0,1686200033.5
sz002227,╟блья╦,2008-06-13,15.71,15.82,15.03,15.15,15.53,1030346.0,15956496.6,333300000.0,1644940792.5
sz002227,╟блья╦,2008-06-16,15.19,15.77,14.87,15.6,15.15,1210426.0,18661181.8,343200000.0,1693800420.0
