Ъ§ОнгЩаЯВЛааећРэЃЌЖдЪ§ОнзжЖЮгавЩЮЪЕФЃЌПЩвджБНгЮЂаХЫНаХаЯВЛааЃЌЮЂаХКХЃКxbx9585
ЙЩЦБДњТы,ЙЩЦБУћГЦ,НЛвзШеЦк,ПЊХЬМл,зюИпМл,зюЕЭМл,ЪеХЬМл,ЧАЪеХЬМл,ГЩНЛСП,ГЩНЛЖю,СїЭЈЪажЕ,змЪажЕ
sz002287,NЦце§,2009-08-28,22.0,26.35,21.5,24.21,11.81,28339633.0,664229940.2,794088000.0,9829260000.0
sz002287,Цце§ВивЉ,2009-08-31,22.85,23.3,21.79,21.79,24.21,2869368.0,64015199.7,714712000.0,8846740000.0
sz002287,Цце§ВивЉ,2009-09-01,19.61,20.9,19.61,19.7,21.79,17146237.0,340773932.7,646160000.0,7998200000.0
sz002287,Цце§ВивЉ,2009-09-02,18.88,20.2,18.49,19.38,19.7,9752449.0,189019715.7,635664000.0,7868280000.0
sz002287,Цце§ВивЉ,2009-09-03,18.79,20.18,18.58,19.9,19.38,8919727.0,173684447.7,652720000.0,8079400000.0
sz002287,Цце§ВивЉ,2009-09-04,19.59,20.54,19.3,19.96,19.9,8643249.0,172166545.9,654688000.0,8103760000.0
sz002287,Цце§ВивЉ,2009-09-07,20.06,21.9,20.0,21.25,19.96,12067157.0,256015966.9,697000000.0,8627500000.0
sz002287,Цце§ВивЉ,2009-09-08,20.88,21.65,20.66,21.15,21.25,6534180.0,138659884.1,693720000.0,8586900000.0
sz002287,Цце§ВивЉ,2009-09-09,21.19,23.27,20.5,23.27,21.15,10525907.0,230823876.9,763256000.0,9447620000.0
sz002287,Цце§ВивЉ,2009-09-10,22.91,25.6,22.5,25.15,23.27,15881158.0,391788242.7,824920000.0,10210900000.0
sz002287,Цце§ВивЉ,2009-09-11,24.6,26.2,24.52,25.61,25.15,12594854.0,319719873.3,840008000.0,10397660000.0
sz002287,Цце§ВивЉ,2009-09-14,25.2,28.12,24.8,27.0,25.61,11174964.0,294936135.7,885600000.0,10962000000.0
sz002287,Цце§ВивЉ,2009-09-15,26.6,27.47,25.6,25.96,27.0,10363641.0,276833143.1,851488000.0,10539760000.0
sz002287,Цце§ВивЉ,2009-09-16,25.63,26.93,25.61,26.15,25.96,6991610.0,183022358.6,857720000.0,10616900000.0
sz002287,Цце§ВивЉ,2009-09-17,25.88,26.65,25.33,26.0,26.15,5759970.0,149280559.1,852800000.0,10556000000.0
sz002287,Цце§ВивЉ,2009-09-18,26.11,27.5,25.81,26.21,26.0,7721834.0,205900999.7,859688000.0,10641260000.0
sz002287,Цце§ВивЉ,2009-09-21,25.51,25.98,24.04,25.5,26.21,6230541.0,156489293.0,836400000.0,10353000000.0
sz002287,Цце§ВивЉ,2009-09-22,25.2,25.48,24.1,24.18,25.5,4837635.0,119434025.9,793104000.0,9817080000.0
sz002287,Цце§ВивЉ,2009-09-23,24.0,24.99,23.93,24.28,24.18,4024383.0,98411627.4,796384000.0,9857680000.0
sz002287,Цце§ВивЉ,2009-09-24,24.16,24.43,22.5,23.2,24.28,3581452.0,84462701.5,760960000.0,9419200000.0
sz002287,Цце§ВивЉ,2009-09-25,23.3,23.96,23.03,23.39,23.2,2345705.0,55242173.2,767192000.0,9496340000.0
sz002287,Цце§ВивЉ,2009-09-28,23.6,24.42,22.8,23.03,23.39,2887486.0,68815712.7,755384000.0,9350180000.0
sz002287,Цце§ВивЉ,2009-09-29,22.9,23.31,21.0,21.9,23.03,2897361.0,63600466.0,718320000.0,8891400000.0
sz002287,Цце§ВивЉ,2009-09-30,22.33,22.5,21.75,21.93,21.9,2192844.0,48371362.2,719304000.0,8903580000.0
sz002287,Цце§ВивЉ,2009-10-09,22.2,23.43,21.94,23.28,21.93,3099756.0,71237822.8,763584000.0,9451680000.0
sz002287,Цце§ВивЉ,2009-10-12,23.4,23.51,22.81,23.02,23.28,2118822.0,49118647.4,755056000.0,9346120000.0
sz002287,Цце§ВивЉ,2009-10-13,22.81,24.9,22.81,24.65,23.02,4003680.0,95067087.4,808520000.0,10007900000.0
sz002287,Цце§ВивЉ,2009-10-14,24.2,25.38,24.2,24.62,24.65,4722591.0,117527480.1,807536000.0,9995720000.0
sz002287,Цце§ВивЉ,2009-10-15,24.5,25.05,24.32,24.45,24.62,2533617.0,62355893.5,801960000.0,9926700000.0
sz002287,Цце§ВивЉ,2009-10-16,24.7,25.29,24.46,24.92,24.45,2875829.0,71492620.4,817376000.0,10117520000.0
sz002287,Цце§ВивЉ,2009-10-19,24.75,25.67,24.7,25.21,24.92,3888833.0,98838012.3,826888000.0,10235260000.0
sz002287,Цце§ВивЉ,2009-10-20,25.2,26.48,24.74,26.01,25.21,5734377.0,146145155.6,853128000.0,10560060000.0
sz002287,Цце§ВивЉ,2009-10-21,25.96,26.18,25.11,25.15,26.01,3900549.0,99761994.7,824920000.0,10210900000.0
sz002287,Цце§ВивЉ,2009-10-22,24.87,26.0,24.65,25.71,25.15,5023923.0,128079925.3,843288000.0,10438260000.0
sz002287,Цце§ВивЉ,2009-10-23,25.73,26.28,25.19,25.72,25.71,4684145.0,121046754.5,843616000.0,10442320000.0
sz002287,Цце§ВивЉ,2009-10-26,25.77,27.1,25.42,26.55,25.72,5815307.0,153451348.1,870840000.0,10779300000.0
sz002287,Цце§ВивЉ,2009-10-27,26.02,26.21,24.95,24.95,26.55,3907007.0,99784906.0,818360000.0,10129700000.0
sz002287,Цце§ВивЉ,2009-10-28,24.79,25.74,24.5,25.62,24.95,2608881.0,65460735.7,840336000.0,10401720000.0
sz002287,Цце§ВивЉ,2009-10-29,25.2,25.95,24.82,25.1,25.62,2802442.0,71347191.7,823280000.0,10190600000.0
sz002287,Цце§ВивЉ,2009-10-30,25.2,25.97,24.9,25.11,25.1,3633503.0,92278401.4,823608000.0,10194660000.0
sz002287,Цце§ВивЉ,2009-11-02,24.48,25.89,24.0,25.51,25.11,4245185.0,107334721.0,836728000.0,10357060000.0
sz002287,Цце§ВивЉ,2009-11-03,25.55,25.7,25.1,25.3,25.51,3216040.0,81437369.6,829840000.0,10271800000.0
sz002287,Цце§ВивЉ,2009-11-04,25.27,25.5,25.12,25.48,25.3,2862600.0,72593651.3,835744000.0,10344880000.0
sz002287,Цце§ВивЉ,2009-11-05,25.49,26.36,25.41,25.97,25.48,4413267.0,114737692.2,851816000.0,10543820000.0
sz002287,Цце§ВивЉ,2009-11-06,26.13,26.22,25.53,25.57,25.97,2813071.0,72403095.2,838696000.0,10381420000.0
sz002287,Цце§ВивЉ,2009-11-09,25.6,25.72,25.01,25.72,25.57,2776531.0,70168764.7,843616000.0,10442320000.0
sz002287,Цце§ВивЉ,2009-11-10,25.78,26.18,25.41,25.59,25.72,3785593.0,97873300.8,839352000.0,10389540000.0
sz002287,Цце§ВивЉ,2009-11-11,25.4,25.5,25.0,25.07,25.59,2415933.0,60785766.2,822296000.0,10178420000.0
sz002287,Цце§ВивЉ,2009-11-12,25.06,25.32,24.88,24.93,25.07,2047851.0,51376279.9,817704000.0,10121580000.0
sz002287,Цце§ВивЉ,2009-11-13,24.9,25.38,24.78,25.28,24.93,1845636.0,46225296.8,829184000.0,10263680000.0
sz002287,Цце§ВивЉ,2009-11-16,25.29,25.89,25.28,25.66,25.28,2727070.0,69844919.0,841648000.0,10417960000.0
sz002287,Цце§ВивЉ,2009-11-17,25.66,28.0,25.51,27.26,25.66,8426292.0,224508907.8,894128000.0,11067560000.0
sz002287,Цце§ВивЉ,2009-11-18,27.19,28.45,26.52,27.7,27.26,7378367.0,202205859.0,908560000.0,11246200000.0
sz002287,Цце§ВивЉ,2009-11-19,27.7,27.94,27.21,27.36,27.7,4309727.0,118710679.4,897408000.0,11108160000.0
sz002287,Цце§ВивЉ,2009-11-20,27.4,27.9,27.13,27.5,27.36,3296606.0,90798831.2,902000000.0,11165000000.0
sz002287,Цце§ВивЉ,2009-11-23,27.31,27.5,26.93,27.4,27.5,3670365.0,99649776.4,898720000.0,11124400000.0
sz002287,Цце§ВивЉ,2009-11-24,27.4,28.4,26.0,26.3,27.4,6804154.0,187749780.0,862640000.0,10677800000.0
sz002287,Цце§ВивЉ,2009-11-25,26.31,26.95,25.52,26.65,26.3,4014316.0,105890624.3,874120000.0,10819900000.0
sz002287,Цце§ВивЉ,2009-11-26,26.5,26.75,24.58,24.81,26.65,4551628.0,117163520.1,813768000.0,10072860000.0
sz002287,Цце§ВивЉ,2009-11-27,24.6,25.4,23.91,24.16,24.81,2872440.0,70399894.1,792448000.0,9808960000.0
sz002287,Цце§ВивЉ,2009-11-30,24.1,24.79,23.7,24.75,24.16,6102673.0,148209607.2,1014750000.0,10048500000.0
sz002287,Цце§ВивЉ,2009-12-01,24.64,25.3,24.51,25.27,24.75,4511050.0,112091536.2,1036070000.0,10259620000.0
sz002287,Цце§ВивЉ,2009-12-02,25.39,25.69,25.08,25.48,25.27,4076177.0,103381910.0,1044680000.0,10344880000.0
sz002287,Цце§ВивЉ,2009-12-03,25.48,25.7,25.15,25.6,25.48,3403788.0,86432467.8,1049600000.0,10393600000.0
sz002287,Цце§ВивЉ,2009-12-04,25.55,26.26,24.6,24.97,25.6,5287208.0,134909328.8,1023770000.0,10137820000.0
sz002287,Цце§ВивЉ,2009-12-07,24.73,25.18,24.73,25.12,24.97,1949226.0,48668650.4,1029920000.0,10198720000.0
sz002287,Цце§ВивЉ,2009-12-08,25.12,25.12,24.45,24.74,25.12,2248791.0,55613446.4,1014340000.0,10044440000.0
sz002287,Цце§ВивЉ,2009-12-09,24.45,24.67,24.15,24.21,24.74,2016467.0,49138405.4,992610000.0,9829260000.0
sz002287,Цце§ВивЉ,2009-12-10,24.4,24.71,24.25,24.64,24.21,1302402.0,31903902.4,1010240000.0,10003840000.0
sz002287,Цце§ВивЉ,2009-12-11,24.69,24.8,24.3,24.36,24.64,1408646.0,34582693.6,998760000.0,9890160000.0
sz002287,Цце§ВивЉ,2009-12-14,24.34,24.36,23.5,24.07,24.36,2138951.0,50971894.5,986870000.0,9772420000.0
sz002287,Цце§ВивЉ,2009-12-15,24.08,24.29,23.88,24.16,24.07,1303835.0,31472218.2,990560000.0,9808960000.0
sz002287,Цце§ВивЉ,2009-12-16,24.18,25.25,24.1,25.1,24.16,3953465.0,97540198.8,1029100000.0,10190600000.0
sz002287,Цце§ВивЉ,2009-12-17,25.1,25.3,24.3,24.42,25.1,2469063.0,61126048.1,1001220000.0,9914520000.0
sz002287,Цце§ВивЉ,2009-12-18,24.56,24.8,23.1,24.58,24.42,2468398.0,59175838.3,1007780000.0,9979480000.0
