 ˝æ›”…–œ≤ª––’˚¿Ì£¨∂‘ ˝æ›◊÷∂Œ”–“…Œ µƒ£¨ø…“‘÷±Ω”Œ¢–≈ÀΩ–≈–œ≤ª––£¨Œ¢–≈∫≈£∫xbx9585
π…∆±¥˙¬Î,π…∆±√˚≥∆,Ωª“◊»’∆⁄,ø™≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€, ’≈Ãº€,«∞ ’≈Ãº€,≥…Ωª¡ø,≥…Ωª∂Ó,¡˜Õ® –÷µ,◊‹ –÷µ
sz002695,NªÕ…œªÕ,2012-09-05,27.11,28.15,26.58,27.35,30.0,11445476.0,311937266.4,847303000.0,3388022876.7
sz002695,ªÕ…œªÕ,2012-09-06,27.06,28.53,26.74,27.58,27.35,8172269.0,226401536.0,854428400.0,3416514476.76
sz002695,ªÕ…œªÕ,2012-09-07,27.3,28.5,26.75,27.85,27.58,8143441.0,224935234.6,862793000.0,3449961137.7
sz002695,ªÕ…œªÕ,2012-09-10,27.58,28.55,27.43,28.38,27.85,7009434.0,197899318.2,879212400.0,3515615694.36
sz002695,ªÕ…œªÕ,2012-09-11,28.01,28.98,27.67,27.75,28.38,6673571.0,188558833.9,859695000.0,3437573485.5
sz002695,ªÕ…œªÕ,2012-09-12,27.71,27.93,26.9,27.2,27.75,5464206.0,149196981.1,842656000.0,3369441398.4
sz002695,ªÕ…œªÕ,2012-09-13,27.0,27.22,26.6,26.6,27.2,3283344.0,88123928.9,824068000.0,3295115485.2
sz002695,ªÕ…œªÕ,2012-09-14,26.76,27.01,26.41,26.8,26.6,2408775.0,64510742.7,830264000.0,3319890789.6
sz002695,ªÕ…œªÕ,2012-09-17,26.7,26.79,25.7,25.71,26.8,2907813.0,75827258.1,796495800.0,3184865380.62
sz002695,ªÕ…œªÕ,2012-09-18,25.55,25.9,25.52,25.65,25.71,1081406.0,27808041.8,794637000.0,3177432789.3
sz002695,ªÕ…œªÕ,2012-09-19,25.71,26.1,25.7,25.86,25.65,1190185.0,30826028.9,801142800.0,3203446858.92
sz002695,ªÕ…œªÕ,2012-09-20,25.85,26.4,25.81,25.9,25.86,2866459.0,74846923.3,802382000.0,3208401919.8
sz002695,ªÕ…œªÕ,2012-09-21,25.81,26.34,25.03,25.17,25.9,2441537.0,62657885.2,779766600.0,3117972058.74
sz002695,ªÕ…œªÕ,2012-09-24,25.0,25.0,24.03,24.42,25.17,2482296.0,60758558.2,756531600.0,3025064667.24
sz002695,ªÕ…œªÕ,2012-09-25,24.46,24.57,24.13,24.46,24.42,1165864.0,28431902.7,757770800.0,3030019728.12
sz002695,ªÕ…œªÕ,2012-09-26,24.38,24.53,24.01,24.18,24.46,1220456.0,29470056.3,749096400.0,2995334301.96
sz002695,ªÕ…œªÕ,2012-09-27,24.09,24.54,23.66,24.0,24.18,2193815.0,52779497.5,743520000.0,2973036528.0
sz002695,ªÕ…œªÕ,2012-09-28,23.9,24.43,23.8,24.31,24.0,1282013.0,31086911.6,753123800.0,3011438249.82
sz002695,ªÕ…œªÕ,2012-10-08,24.26,25.49,24.26,25.19,24.31,2286758.0,56905410.8,780386200.0,3120449589.18
sz002695,ªÕ…œªÕ,2012-10-09,25.02,25.51,25.02,25.43,25.19,1515059.0,38375065.3,787821400.0,3150179954.46
sz002695,ªÕ…œªÕ,2012-10-10,25.42,25.42,25.03,25.32,25.43,1168628.0,29442482.9,784413600.0,3136553537.04
