สýพÝำษะฯฒปะะี๛ภํฃฌถิสýพÝืึถฮำะาษฮสตฤฃฌฟษาิึฑฝำฮขะลหฝะละฯฒปะะฃฌฮขะลบลฃบxbx9585
นษฦฑด๚ย๋,นษฦฑร๛ณฦ,ฝปาืศีฦฺ,ฟชลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,สีลฬผÛ,วฐสีลฬผÛ,ณษฝปมฟ,ณษฝปถ๎,ม๗อจสะึต,ืÜสะึต
sz002884,Nม่ฯ๖,2017-07-11,34.93,41.92,34.93,41.92,29.11,8500.0,353871.0,811990400.0,3247542400.0
sz002884,ม่ฯ๖ฑราต,2017-07-12,46.11,46.11,46.11,46.11,41.92,7200.0,331992.0,893150700.0,3572141700.0
sz002884,ม่ฯ๖ฑราต,2017-07-13,50.72,50.72,50.72,50.72,46.11,9676.0,490766.0,982446400.0,3929278400.0
sz002884,ม่ฯ๖ฑราต,2017-07-14,55.79,55.79,55.79,55.79,50.72,32500.0,1813175.0,1080652300.0,4322051300.0
sz002884,ม่ฯ๖ฑราต,2017-07-17,61.37,61.37,53.4,61.37,55.79,10177281.0,607634491.0,1188736900.0,4754333900.0
sz002884,ม่ฯ๖ฑราต,2017-07-18,58.0,59.5,55.6,55.95,61.37,5889885.0,339190967.0,1083751500.0,4334446500.0
sz002884,ม่ฯ๖ฑราต,2017-07-19,54.88,55.98,52.0,53.61,55.95,4791872.0,257340448.0,1038425700.0,4153166700.0
sz002884,ม่ฯ๖ฑราต,2017-07-20,53.88,55.95,52.89,52.95,53.61,4399055.0,239329401.0,1025641500.0,4102036500.0
sz002884,ม่ฯ๖ฑราต,2017-07-21,52.0,52.0,50.09,50.68,52.95,3540904.0,180252122.0,981671600.0,3926179600.0
sz002884,ม่ฯ๖ฑราต,2017-07-24,49.88,51.93,49.87,51.2,50.68,2698937.0,137729652.0,991744000.0,3966464000.0
sz002884,ม่ฯ๖ฑราต,2017-07-25,51.08,51.28,49.8,50.1,51.2,2337278.0,117565063.0,970437000.0,3881247000.0
sz002884,ม่ฯ๖ฑราต,2017-07-26,50.3,50.88,49.7,50.0,50.1,1995078.0,100318981.0,968500000.0,3873500000.0
sz002884,ม่ฯ๖ฑราต,2017-07-27,49.62,51.84,49.3,51.08,50.0,2946077.0,149466449.0,989419600.0,3957167600.0
sz002884,ม่ฯ๖ฑราต,2017-07-28,50.8,53.2,50.79,51.46,51.08,3224082.0,167801340.0,996780200.0,3986606200.0
sz002884,ม่ฯ๖ฑราต,2017-07-31,51.1,53.48,50.5,53.1,51.46,3006407.0,157788715.0,1028547000.0,4113657000.0
sz002884,ม่ฯ๖ฑราต,2017-08-01,53.02,54.45,51.88,52.42,53.1,3130036.0,165712788.0,1015375400.0,4060977400.0
sz002884,ม่ฯ๖ฑราต,2017-08-02,51.98,52.87,50.56,50.88,52.42,2286043.0,118554946.0,985545600.0,3941673600.0
