方象喇佻音佩屁尖��斤方象忖粁嗤夘諒議��辛參岷俊裏佚暴佚佻音佩��裏佚催��xbx9585
紘同旗鷹,紘同兆各,住叟晩豚,蝕徒勺,恷互勺,恷詰勺,辺徒勺,念辺徒勺,撹住楚,撹住駆,送宥偏峙,悳偏峙
sz002913,N安平慎,2017-12-01,36.46,43.75,36.46,43.75,30.38,19716.0,855946.0,1575568750.0,6302275000.0
sz002913,安平慎,2017-12-04,48.13,48.13,48.13,48.13,43.75,12558.0,604416.0,1733305690.0,6933222760.0
sz002913,安平慎,2017-12-05,52.94,52.94,52.94,52.94,48.13,71745.0,3798180.0,1906528220.0,7626112880.0
sz002913,安平慎,2017-12-06,57.0,58.23,53.01,58.23,52.94,16758520.0,937802587.0,2097036990.0,8388147960.0
sz002913,安平慎,2017-12-07,56.6,56.8,53.4,53.58,58.23,13355578.0,737585416.0,1929576540.0,7718306160.0
sz002913,安平慎,2017-12-08,51.2,58.18,51.06,55.6,53.58,15261199.0,850779837.0,2002322800.0,8009291200.0
sz002913,安平慎,2017-12-11,54.07,56.44,53.0,54.13,55.6,9645304.0,525008615.0,1949383690.0,7797534760.0
sz002913,安平慎,2017-12-12,52.88,52.88,49.0,49.0,54.13,11121508.0,565806661.0,1764637000.0,7058548000.0
sz002913,安平慎,2017-12-13,48.0,49.85,47.66,48.38,49.0,6309695.0,306717996.0,1742308940.0,6969235760.0
sz002913,安平慎,2017-12-14,48.4,49.87,48.21,49.24,48.38,6394302.0,314183828.0,1773280120.0,7093120480.0
sz002913,安平慎,2017-12-15,48.71,48.97,46.4,46.84,49.24,6889120.0,327976626.0,1686848920.0,6747395680.0
sz002913,安平慎,2017-12-18,47.15,47.49,45.03,45.77,46.84,4485968.0,205738826.0,1648315010.0,6593260040.0
sz002913,安平慎,2017-12-19,45.63,46.32,44.71,45.46,45.77,4825599.0,219380546.0,1637150980.0,6548603920.0
sz002913,安平慎,2017-12-20,45.3,46.13,45.11,45.87,45.46,4426112.0,202295851.0,1651916310.0,6607665240.0
sz002913,安平慎,2017-12-21,45.5,45.53,43.61,44.77,45.87,5557563.0,248139057.0,1612302010.0,6449208040.0
sz002913,安平慎,2017-12-22,44.61,45.98,44.39,45.21,44.77,4635168.0,210370441.0,1628147730.0,6512590920.0
sz002913,安平慎,2017-12-25,44.8,44.9,43.0,44.35,45.21,4939124.0,216954935.0,1597176550.0,6388706200.0
sz002913,安平慎,2017-12-26,43.96,47.36,43.86,46.4,44.35,7296516.0,336444218.0,1671003200.0,6684012800.0
sz002913,安平慎,2017-12-27,46.35,50.88,46.35,48.3,46.4,10656103.0,514226686.0,1739427900.0,6957711600.0
