杅擂蚕俵祥俴淕燴ㄛ勤杅擂趼僇衄疶恀腔ㄛ褫眕眻諉峚陓佌陓俵祥俴ㄛ峚陓瘍ㄩxbx9585
嘖き測鎢,嘖き靡備,蝠眢�梪�,羲攫歎,郔詢歎,郔腴歎,彶攫歎,ヶ彶攫歎,傖蝠講,傖蝠塗,霜籵庈硉,軞庈硉
sz300246,N惘應杻,2011-07-19,39.8,43.43,39.01,43.41,25.0,7739694.0,309822643.0,365512200.0,1761577800.0
sz300246,惘應杻,2011-07-20,41.8,42.24,39.56,39.65,43.41,4174595.0,169624250.9,333853000.0,1608997000.0
sz300246,惘應杻,2011-07-21,39.68,40.29,38.63,39.4,39.65,2118176.0,83575426.4,331748000.0,1598852000.0
sz300246,惘應杻,2011-07-22,39.1,39.48,38.22,38.59,39.4,1866251.0,72479559.3,324927800.0,1565982200.0
sz300246,惘應杻,2011-07-25,38.35,40.15,38.33,38.84,38.59,2252131.0,88729979.4,327032800.0,1576127200.0
sz300246,惘應杻,2011-07-26,38.56,39.0,35.58,37.29,38.84,1640187.0,60495075.4,313981800.0,1513228200.0
sz300246,惘應杻,2011-07-27,36.71,40.38,36.5,39.7,37.29,2016138.0,78453849.2,334274000.0,1611026000.0
sz300246,惘應杻,2011-07-28,39.2,40.65,38.76,39.85,39.7,1763182.0,70391686.2,335537000.0,1617113000.0
sz300246,惘應杻,2011-07-29,39.5,40.3,38.92,39.26,39.85,1215950.0,47871476.4,330569200.0,1593170800.0
sz300246,惘應杻,2011-08-01,39.23,43.19,38.87,43.19,39.26,3658065.0,154480863.9,363659800.0,1752650200.0
sz300246,惘應杻,2011-08-02,43.28,47.51,42.51,47.51,43.19,4660046.0,211028785.3,400034200.0,1927955800.0
sz300246,惘應杻,2011-08-03,46.63,49.11,44.71,45.97,47.51,3165390.0,147738915.9,387067400.0,1865462600.0
sz300246,惘應杻,2011-08-04,45.46,46.59,43.8,44.4,45.97,2576785.0,115606308.9,373848000.0,1801752000.0
sz300246,惘應杻,2011-08-05,43.0,43.56,41.41,42.42,44.4,1905927.0,81192050.8,357176400.0,1721403600.0
sz300246,惘應杻,2011-08-08,42.0,42.38,38.18,39.6,42.42,2076127.0,84079272.4,333432000.0,1606968000.0
sz300246,惘應杻,2011-08-09,38.0,41.2,37.01,40.0,39.6,1644448.0,64479030.5,336800000.0,1623200000.0
sz300246,惘應杻,2011-08-10,40.8,41.66,39.31,39.31,40.0,1587714.0,64439478.4,330990200.0,1595199800.0
sz300246,惘應杻,2011-08-11,38.01,42.31,38.01,42.05,39.31,1758131.0,70764787.6,354061000.0,1706389000.0
sz300246,惘應杻,2011-08-12,42.05,42.8,41.1,41.73,42.05,1441185.0,60317759.7,351366600.0,1693403400.0
sz300246,惘應杻,2011-08-15,41.81,43.56,41.48,42.81,41.73,1563872.0,66695485.6,360460200.0,1737229800.0
sz300246,惘應杻,2011-08-16,42.7,44.4,42.1,42.46,42.81,1606158.0,69528814.3,357513200.0,1723026800.0
sz300246,惘應杻,2011-08-17,42.4,44.29,42.2,43.39,42.46,1659027.0,71988834.1,365343800.0,1760766200.0
sz300246,惘應杻,2011-08-18,43.0,44.67,42.0,42.0,43.39,1816463.0,79030988.4,353640000.0,1704360000.0
sz300246,惘應杻,2011-08-19,40.46,40.7,39.01,40.1,42.0,1139998.0,45698750.8,337642000.0,1627258000.0
sz300246,惘應杻,2011-08-22,40.2,41.3,40.0,40.61,40.1,939866.0,38223521.6,341936200.0,1647953800.0
sz300246,惘應杻,2011-08-23,40.65,44.67,40.65,44.67,40.61,1314837.0,57264077.4,376121400.0,1812708600.0
sz300246,惘應杻,2011-08-24,48.0,48.8,46.02,46.71,44.67,3968956.0,187921832.3,393298200.0,1895491800.0
sz300246,惘應杻,2011-08-25,46.45,48.58,45.3,47.41,46.71,3058798.0,144207101.9,399192200.0,1923897800.0
sz300246,惘應杻,2011-08-26,46.32,49.15,45.5,47.6,47.41,2486069.0,118310763.0,400792000.0,1931608000.0
sz300246,惘應杻,2011-08-29,46.99,48.5,46.6,47.87,47.6,1734911.0,82241901.8,403065400.0,1942564600.0
sz300246,惘應杻,2011-08-30,47.76,50.47,45.5,45.55,47.87,2183593.0,104422305.9,383531000.0,1848419000.0
sz300246,惘應杻,2011-08-31,45.3,47.45,43.75,47.4,45.55,1965679.0,89399389.2,399108000.0,1923492000.0
sz300246,惘應杻,2011-09-01,46.79,47.78,45.03,45.9,47.4,1374897.0,64100440.3,386478000.0,1862622000.0
sz300246,惘應杻,2011-09-02,45.64,49.9,44.6,48.2,45.9,2546059.0,120931288.5,405844000.0,1955956000.0
sz300246,惘應杻,2011-09-05,47.5,50.5,46.66,49.46,48.2,3001189.0,146460703.9,416453200.0,2007086800.0
sz300246,惘應杻,2011-09-06,48.06,49.9,45.0,46.57,49.46,2270691.0,107936634.3,392119400.0,1889810600.0
sz300246,惘應杻,2011-09-07,46.69,49.99,46.0,48.88,46.57,2147861.0,102981364.9,411569600.0,1983550400.0
sz300246,惘應杻,2011-09-08,48.7,51.3,48.18,48.18,48.88,2212786.0,110093619.3,405675600.0,1955144400.0
sz300246,惘應杻,2011-09-09,47.25,48.46,46.0,46.1,48.18,1471086.0,69170470.9,388162000.0,1870738000.0
sz300246,惘應杻,2011-09-13,44.98,44.98,41.49,41.5,46.1,1496146.0,63944390.1,349430000.0,1684070000.0
sz300246,惘應杻,2011-09-14,41.96,43.45,41.81,43.15,41.5,1044801.0,44633715.8,363323000.0,1751027000.0
sz300246,惘應杻,2011-09-15,42.89,43.95,42.4,43.22,43.15,1069000.0,46114418.7,363912400.0,1753867600.0
sz300246,惘應杻,2011-09-16,43.08,43.45,40.63,41.16,43.22,927500.0,39010956.5,346567200.0,1670272800.0
sz300246,惘應杻,2011-09-19,41.06,41.08,39.54,39.68,41.16,515478.0,20602990.1,334105600.0,1610214400.0
sz300246,惘應杻,2011-09-20,39.45,40.8,39.45,40.28,39.68,454251.0,18203977.3,339157600.0,1634562400.0
sz300246,惘應杻,2011-09-21,40.21,41.96,39.54,41.39,40.28,680462.0,27793617.0,348503800.0,1679606200.0
sz300246,惘應杻,2011-09-22,40.95,41.3,38.38,38.38,41.39,717230.0,28549378.1,323159600.0,1557460400.0
sz300246,惘應杻,2011-09-23,38.02,38.1,36.82,37.3,38.38,725226.0,27121276.1,314066000.0,1513634000.0
sz300246,惘應杻,2011-09-26,36.78,38.77,36.66,37.31,37.3,570062.0,21476711.6,314150200.0,1514039800.0
sz300246,惘應杻,2011-09-27,37.4,38.1,36.4,37.15,37.31,502298.0,18727304.6,312803000.0,1507547000.0
sz300246,惘應杻,2011-09-28,37.41,37.77,35.6,35.86,37.15,453138.0,16659199.7,301941200.0,1455198800.0
sz300246,惘應杻,2011-09-29,35.5,35.5,33.94,34.05,35.86,617650.0,21295855.4,286701000.0,1381749000.0
sz300246,惘應杻,2011-09-30,34.5,34.5,33.22,34.0,34.05,332863.0,11244622.5,286280000.0,1379720000.0
sz300246,惘應杻,2011-10-10,34.54,35.13,34.01,34.5,34.0,397028.0,13781440.7,290490000.0,1400010000.0
sz300246,惘應杻,2011-10-11,35.4,36.18,34.03,35.0,34.5,659546.0,23331844.6,294700000.0,1420300000.0
sz300246,惘應杻,2011-10-12,34.5,36.68,34.27,36.46,35.0,655961.0,23575423.6,306993200.0,1479546800.0
sz300246,惘應杻,2011-10-13,36.46,38.1,36.02,37.2,36.46,581639.0,21703639.3,313224000.0,1509576000.0
sz300246,惘應杻,2011-10-14,37.27,37.28,36.15,36.71,37.2,455697.0,16623755.7,309098200.0,1489691800.0
sz300246,惘應杻,2011-10-17,36.72,37.58,36.72,37.3,36.71,498501.0,18547200.8,314066000.0,1513634000.0
sz300246,惘應杻,2011-10-18,36.83,36.97,34.8,34.8,37.3,614259.0,21980201.5,293016000.0,1412184000.0
sz300246,惘應杻,2011-10-19,34.9,35.0,33.3,33.36,34.8,1175922.0,40032143.4,350280000.0,1353748800.0
sz300246,惘應杻,2011-10-20,32.9,33.0,31.52,32.14,33.36,1185483.0,38174864.1,337470000.0,1304241200.0
sz300246,惘應杻,2011-10-21,32.1,32.27,30.4,30.59,32.14,669345.0,20855181.1,321195000.0,1241342200.0
sz300246,惘應杻,2011-10-24,29.4,31.05,28.13,30.65,30.59,1125553.0,33012170.1,321825000.0,1243777000.0
sz300246,惘應杻,2011-10-25,30.4,31.56,29.65,31.27,30.65,1077204.0,33074494.0,328335000.0,1268936600.0
sz300246,惘應杻,2011-10-26,30.81,32.46,30.35,31.32,31.27,1112999.0,34849500.1,328860000.0,1270965600.0
sz300246,惘應杻,2011-10-27,30.95,32.4,30.86,30.91,31.32,929715.0,29376306.4,324555000.0,1254327800.0
sz300246,惘應杻,2011-10-28,31.48,31.95,31.0,31.92,30.91,1000277.0,31494549.2,335160000.0,1295313600.0
