Êý¾ÝÓÉÐÏ²»ÐÐÕûÀí£¬¶ÔÊý¾Ý×Ö¶ÎÓÐÒÉÎÊµÄ£¬¿ÉÒÔÖ±½ÓÎ¢ÐÅË½ÐÅÐÏ²»ÐÐ£¬Î¢ÐÅºÅ£ºxbx9585
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,Ç°ÊÕÅÌ¼Û,³É½»Á¿,³É½»¶î,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ
sz300622,N²©Ê¿,2017-03-15,11.8,14.16,11.8,14.16,9.83,5105.0,70988.0,303732000.0,1214928000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-16,15.58,15.58,15.58,15.58,14.16,1406.0,21905.0,334191000.0,1336764000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-17,17.14,17.14,17.14,17.14,15.58,1500.0,25710.0,367653000.0,1470612000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-20,18.85,18.85,18.85,18.85,17.14,6000.0,113100.0,404332500.0,1617330000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-21,20.74,20.74,20.74,20.74,18.85,500.0,10370.0,444873000.0,1779492000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-22,22.81,22.81,22.81,22.81,20.74,6009.0,137065.0,489274500.0,1957098000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-23,25.09,25.09,25.09,25.09,22.81,1700.0,42653.0,538180500.0,2152722000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-24,27.6,27.6,27.6,27.6,25.09,3921.0,108219.0,592020000.0,2368080000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-27,30.36,30.36,30.36,30.36,27.6,12100.0,367356.0,651222000.0,2604888000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-28,33.4,33.4,33.4,33.4,30.36,17000.0,567800.0,716430000.0,2865720000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-29,36.74,36.74,36.74,36.74,33.4,15095.0,554590.0,788073000.0,3152292000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-30,40.41,40.41,40.41,40.41,36.74,196475.0,7939554.0,866794500.0,3467178000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-03-31,44.45,44.45,44.45,44.45,40.41,212358.0,9439313.0,953452500.0,3813810000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-05,46.15,48.89,42.5,45.9,44.45,12821425.0,580299950.0,984555000.0,3938220000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-06,45.02,49.8,44.5,48.8,45.9,11806354.0,557991415.0,1046760000.0,4187040000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-07,48.0,48.38,44.8,45.4,48.8,8412143.0,391129804.0,973830000.0,3895320000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-10,44.4,44.95,40.86,40.95,45.4,7061724.0,302797753.0,878377500.0,3513510000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-11,40.46,43.56,40.46,43.13,40.95,5950039.0,251427408.0,925138500.0,3700554000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-12,42.34,43.78,41.52,41.69,43.13,4464808.0,189455268.0,894250500.0,3577002000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-13,41.26,42.79,41.04,41.18,41.69,2914425.0,122080634.0,883311000.0,3533244000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-14,40.59,41.0,39.88,40.04,41.18,3068789.0,123916377.0,858858000.0,3435432000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-17,38.55,38.8,36.22,37.73,40.04,3951436.0,148880089.0,809308500.0,3237234000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-18,37.95,38.39,37.05,37.18,37.73,1584497.0,60014556.0,797511000.0,3190044000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-19,37.3,38.99,37.08,38.49,37.18,2101974.0,79694857.0,825610500.0,3302442000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-20,38.3,38.33,36.3,37.0,38.49,2180344.0,81058692.0,793650000.0,3174600000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-21,36.98,37.27,36.32,36.4,37.0,1165569.0,42757626.0,780780000.0,3123120000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-24,35.88,36.32,34.3,34.78,36.4,1284433.0,44911886.0,746031000.0,2984124000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-25,34.8,35.57,34.75,34.8,34.78,1234236.0,43336877.0,746460000.0,2985840000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-26,34.86,35.88,34.83,35.44,34.8,1651600.0,58515695.0,760188000.0,3040752000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-27,35.43,38.0,34.65,37.5,35.44,2945822.0,107730534.0,804375000.0,3217500000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-04-28,37.5,37.78,37.18,37.46,37.5,1847925.0,69220558.0,803517000.0,3214068000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-02,37.1,37.85,36.8,36.86,37.46,1337210.0,49837194.0,790647000.0,3162588000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-03,37.06,37.5,36.25,37.4,36.86,1934017.0,71490242.0,802230000.0,3208920000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-04,37.12,37.18,35.0,35.8,37.4,1567353.0,56758070.0,767910000.0,3071640000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-05,35.78,36.55,35.56,35.56,35.8,1292580.0,46420066.0,762762000.0,3051048000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-08,35.5,35.5,34.45,34.64,35.56,1072737.0,37552808.0,743028000.0,2972112000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-09,34.5,35.64,34.42,35.29,34.64,1091691.0,38241625.0,756970500.0,3027882000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-10,35.21,35.73,34.0,34.2,35.29,1253907.0,43960218.0,733590000.0,2934360000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-11,33.85,34.6,33.12,34.56,34.2,1607373.0,54496925.0,741312000.0,2965248000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-12,34.39,34.83,33.6,34.57,34.56,1847470.0,63394972.0,741526500.0,2966106000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-15,34.8,35.25,34.3,34.45,34.57,1405444.0,48848166.0,738952500.0,2955810000.0
sz300622,²©Ê¿ÑÛ¾µ,2017-05-16,34.08,35.65,33.9,35.64,34.45,1564996.0,54362411.0,764478000.0,3057912000.0
